Time,"Cell Type","T3","alpha3","pressure","vtkGhostType"
1.031e-06,9,303.24,1,4.1789e+07,0
1.031e-06,9,303.23,1,4.1736e+07,0
1.031e-06,9,303.23,1,4.1677e+07,0
1.031e-06,9,303.22,1,4.1541e+07,0
1.031e-06,9,303.2,1,4.1358e+07,0
1.031e-06,9,303.18,1,4.1095e+07,0
1.031e-06,9,303.16,1,4.0762e+07,0
1.031e-06,9,303.13,1,4.0403e+07,0
1.031e-06,9,303.1,1,3.998e+07,0
1.031e-06,9,303.07,1,3.952e+07,0
1.031e-06,9,303.03,1,3.9055e+07,0
1.031e-06,9,302.99,1,3.8562e+07,0
1.031e-06,9,302.96,1,3.8066e+07,0
1.031e-06,9,302.92,1,3.7561e+07,0
1.031e-06,9,302.88,1,3.7068e+07,0
1.031e-06,9,302.84,1,3.6601e+07,0
1.031e-06,9,302.81,1,3.6185e+07,0
1.031e-06,9,302.79,1,3.5816e+07,0
1.031e-06,9,302.76,1,3.5505e+07,0
1.031e-06,9,302.74,1,3.5237e+07,0
1.031e-06,9,302.73,1,3.5032e+07,0
1.031e-06,9,302.71,1,3.4897e+07,0
1.031e-06,9,302.71,1,3.4822e+07,0
1.031e-06,9,302.7,1,3.4781e+07,0
1.031e-06,9,302.7,1,3.4757e+07,0
1.031e-06,9,302.7,1,3.4743e+07,0
1.031e-06,9,302.7,1,3.4729e+07,0
1.031e-06,9,302.69,1,3.4672e+07,0
1.031e-06,9,302.68,1,3.4578e+07,0
1.031e-06,9,302.66,1,3.4386e+07,0
1.031e-06,9,302.64,1,3.4107e+07,0
1.031e-06,9,302.61,1,3.3709e+07,0
1.031e-06,9,302.57,1,3.3207e+07,0
1.031e-06,9,302.52,1,3.2592e+07,0
1.031e-06,9,302.47,1,3.189e+07,0
1.031e-06,9,302.42,1,3.1235e+07,0
1.031e-06,9,302.38,1,3.0676e+07,0
1.031e-06,9,302.34,1,3.0198e+07,0
1.031e-06,9,302.31,1,2.9804e+07,0
1.031e-06,9,302.28,1,2.9493e+07,0
1.031e-06,9,302.27,1,2.9254e+07,0
1.031e-06,9,302.25,1,2.9068e+07,0
1.031e-06,9,302.24,1,2.8916e+07,0
1.031e-06,9,302.23,1,2.8783e+07,0
1.031e-06,9,302.22,1,2.8658e+07,0
1.031e-06,9,302.21,1,2.8534e+07,0
1.031e-06,9,302.19,1,2.8406e+07,0
1.031e-06,9,302.18,1,2.8268e+07,0
1.031e-06,9,302.17,1,2.8119e+07,0
1.031e-06,9,302.16,1,2.7964e+07,0
1.031e-06,9,302.15,1,2.7806e+07,0
1.031e-06,9,302.13,1,2.7643e+07,0
1.031e-06,9,303.26,1,4.1722e+07,0
1.031e-06,9,303.26,1,4.1685e+07,0
1.031e-06,9,303.25,1,4.1607e+07,0
1.031e-06,9,303.24,1,4.1478e+07,0
1.031e-06,9,303.23,1,4.1291e+07,0
1.031e-06,9,303.21,1,4.1041e+07,0
1.031e-06,9,303.18,1,4.0731e+07,0
1.031e-06,9,303.16,1,4.0366e+07,0
1.031e-06,9,303.13,1,3.9958e+07,0
1.031e-06,9,303.09,1,3.9517e+07,0
1.031e-06,9,303.06,1,3.9053e+07,0
1.031e-06,9,303.02,1,3.8579e+07,0
1.031e-06,9,302.99,1,3.8106e+07,0
1.031e-06,9,302.95,1,3.7623e+07,0
1.031e-06,9,302.92,1,3.7145e+07,0
1.031e-06,9,302.88,1,3.6678e+07,0
1.031e-06,9,302.85,1,3.6255e+07,0
1.031e-06,9,302.82,1,3.5887e+07,0
1.031e-06,9,302.8,1,3.5585e+07,0
1.031e-06,9,302.78,1,3.5335e+07,0
1.031e-06,9,302.76,1,3.5144e+07,0
1.031e-06,9,302.75,1,3.4998e+07,0
1.031e-06,9,302.74,1,3.4903e+07,0
1.031e-06,9,302.74,1,3.4835e+07,0
1.031e-06,9,302.73,1,3.4789e+07,0
1.031e-06,9,302.73,1,3.4751e+07,0
1.031e-06,9,302.72,1,3.4702e+07,0
1.031e-06,9,302.71,1,3.462e+07,0
1.031e-06,9,302.7,1,3.45e+07,0
1.031e-06,9,302.69,1,3.4292e+07,0
1.031e-06,9,302.66,1,3.4005e+07,0
1.031e-06,9,302.63,1,3.3607e+07,0
1.031e-06,9,302.59,1,3.3114e+07,0
1.031e-06,9,302.55,1,3.2526e+07,0
1.031e-06,9,302.49,1,3.1874e+07,0
1.031e-06,9,302.45,1,3.1243e+07,0
1.031e-06,9,302.41,1,3.0691e+07,0
1.031e-06,9,302.37,1,3.0221e+07,0
1.031e-06,9,302.34,1,2.9829e+07,0
1.031e-06,9,302.31,1,2.9512e+07,0
1.031e-06,9,302.29,1,2.9263e+07,0
1.031e-06,9,302.28,1,2.9066e+07,0
1.031e-06,9,302.26,1,2.8903e+07,0
1.031e-06,9,302.25,1,2.876e+07,0
1.031e-06,9,302.24,1,2.8628e+07,0
1.031e-06,9,302.23,1,2.8499e+07,0
1.031e-06,9,302.22,1,2.8368e+07,0
1.031e-06,9,302.21,1,2.8231e+07,0
1.031e-06,9,302.19,1,2.8086e+07,0
1.031e-06,9,302.18,1,2.7933e+07,0
1.031e-06,9,302.17,1,2.7774e+07,0
1.031e-06,9,302.15,1,2.7608e+07,0
