0.000000000000000000e+00,1.000000000000000000e+05
2.610000000000000210e-08,3.433551197999999672e+07
4.510000000000000018e-08,3.215686275000000000e+07
5.809999999999999748e-08,3.084967319999999925e+07
9.109999999999998857e-08,2.858387800000000000e+07
1.101000000000000131e-07,2.727668844999999925e+07
1.231000000000000104e-07,2.579520696999999881e+07
1.431000000000000042e-07,2.422657951999999955e+07
1.751000000000000261e-07,2.169934641000000015e+07
2.081000000000000172e-07,1.952069717000000179e+07
2.400999999999999861e-07,1.699346405000000075e+07
2.861000000000000009e-07,1.429193900000000000e+07
3.181000000000000228e-07,1.263616558000000007e+07
3.441000000000000174e-07,1.071895425000000000e+07
3.901000000000000322e-07,8.540305010999999940e+06
4.351000000000000249e-07,6.274509803999999538e+06
4.870999999999999611e-07,4.008714597000000067e+06
5.191000000000000359e-07,2.614379084999999963e+06
5.581000000000000013e-07,1.132897602999999886e+06
5.841000000000000488e-07,2.300000000000000000e+03
9.090999999999999018e-07,2.300000000000000000e+03
1.0000000000000000000000,2.300000000000000000e+03
