Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
9.6654e-07,9,301.49,1,301.49,1.8232e+07,0
9.6654e-07,9,301.49,1,301.49,1.8224e+07,0
9.6654e-07,9,301.49,1,301.49,1.8249e+07,0
9.6654e-07,9,301.49,1,301.49,1.8241e+07,0
9.6654e-07,9,301.49,1,301.49,1.8236e+07,0
9.6654e-07,9,301.48,1,301.48,1.8207e+07,0
9.6654e-07,9,301.48,1,301.48,1.8167e+07,0
9.6654e-07,9,301.48,1,301.48,1.815e+07,0
9.6654e-07,9,301.47,1,301.47,1.8112e+07,0
9.6654e-07,9,301.47,1,301.47,1.8062e+07,0
9.6654e-07,9,301.47,1,301.47,1.802e+07,0
9.6654e-07,9,301.46,1,301.46,1.796e+07,0
9.6654e-07,9,301.45,1,301.45,1.7894e+07,0
9.6654e-07,9,301.45,1,301.45,1.7823e+07,0
9.6654e-07,9,301.44,1,301.44,1.7751e+07,0
9.6654e-07,9,301.44,1,301.44,1.7681e+07,0
9.6654e-07,9,301.43,1,301.43,1.7614e+07,0
9.6654e-07,9,301.42,1,301.42,1.755e+07,0
9.6654e-07,9,301.42,1,301.42,1.7481e+07,0
9.6654e-07,9,301.41,1,301.41,1.741e+07,0
9.6654e-07,9,301.4,1,301.4,1.7349e+07,0
9.6654e-07,9,301.4,1,301.4,1.7289e+07,0
9.6654e-07,9,301.39,1,301.39,1.723e+07,0
9.6654e-07,9,301.39,1,301.39,1.717e+07,0
9.6654e-07,9,301.38,1,301.38,1.7107e+07,0
9.6654e-07,9,301.37,1,301.37,1.7043e+07,0
9.6654e-07,9,301.37,1,301.37,1.6977e+07,0
9.6654e-07,9,301.36,1,301.36,1.6912e+07,0
9.6654e-07,9,301.35,1,301.35,1.6841e+07,0
9.6654e-07,9,301.35,1,301.35,1.6762e+07,0
9.6654e-07,9,301.34,1,301.34,1.667e+07,0
9.6654e-07,9,301.33,1,301.33,1.6565e+07,0
9.6654e-07,9,301.32,1,301.32,1.6452e+07,0
9.6654e-07,9,301.31,1,301.31,1.6333e+07,0
9.6654e-07,9,301.3,1,301.3,1.6211e+07,0
9.6654e-07,9,301.29,1,301.29,1.6084e+07,0
9.6654e-07,9,301.27,1,301.27,1.5954e+07,0
9.6654e-07,9,301.26,1,301.26,1.5822e+07,0
9.6654e-07,9,301.25,1,301.25,1.5688e+07,0
9.6654e-07,9,301.24,1,301.24,1.555e+07,0
9.6654e-07,9,301.23,1,301.23,1.5411e+07,0
