Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
1.0389e-06,9,302.83,1,302.83,3.6138e+07,0
1.0389e-06,9,302.82,1,302.83,3.6084e+07,0
1.0389e-06,9,302.82,1,302.82,3.6029e+07,0
1.0389e-06,9,302.81,1,302.81,3.5914e+07,0
1.0389e-06,9,302.8,1,302.8,3.5782e+07,0
1.0389e-06,9,302.78,1,302.78,3.56e+07,0
1.0389e-06,9,302.77,1,302.77,3.5377e+07,0
1.0389e-06,9,302.75,1,302.75,3.5153e+07,0
1.0389e-06,9,302.73,1,302.73,3.489e+07,0
1.0389e-06,9,302.71,1,302.71,3.4609e+07,0
1.0389e-06,9,302.68,1,302.68,3.4328e+07,0
1.0389e-06,9,302.66,1,302.66,3.4021e+07,0
1.0389e-06,9,302.64,1,302.64,3.3701e+07,0
1.0389e-06,9,302.61,1,302.61,3.3376e+07,0
1.0389e-06,9,302.59,1,302.59,3.3059e+07,0
1.0389e-06,9,302.56,1,302.56,3.2761e+07,0
1.0389e-06,9,302.55,1,302.55,3.2509e+07,0
1.0389e-06,9,302.53,1,302.53,3.2319e+07,0
1.0389e-06,9,302.52,1,302.52,3.2183e+07,0
1.0389e-06,9,302.51,1,302.51,3.2064e+07,0
1.0389e-06,9,302.5,1,302.5,3.1966e+07,0
1.0389e-06,9,302.49,1,302.49,3.19e+07,0
1.0389e-06,9,302.49,1,302.49,3.1824e+07,0
1.0389e-06,9,302.48,1,302.48,3.1722e+07,0
1.0389e-06,9,302.47,1,302.47,3.1608e+07,0
1.0389e-06,9,302.45,1,302.45,3.1444e+07,0
1.0389e-06,9,302.43,1,302.43,3.1226e+07,0
1.0389e-06,9,302.41,1,302.41,3.0951e+07,0
1.0389e-06,9,302.38,1,302.38,3.0613e+07,0
1.0389e-06,9,302.35,1,302.35,3.0219e+07,0
1.0389e-06,9,302.32,1,302.32,2.9775e+07,0
1.0389e-06,9,302.29,1,302.29,2.9358e+07,0
1.0389e-06,9,302.26,1,302.26,2.9051e+07,0
1.0389e-06,9,302.25,1,302.25,2.8827e+07,0
1.0389e-06,9,302.23,1,302.23,2.8674e+07,0
1.0389e-06,9,302.23,1,302.23,2.8598e+07,0
1.0389e-06,9,302.22,1,302.22,2.8577e+07,0
1.0389e-06,9,302.22,1,302.22,2.858e+07,0
1.0389e-06,9,302.22,1,302.22,2.8601e+07,0
1.0389e-06,9,302.22,1,302.22,2.8644e+07,0
1.0389e-06,9,302.23,1,302.23,2.8699e+07,0
1.0389e-06,9,302.23,1,302.23,2.8743e+07,0
1.0389e-06,9,302.23,1,302.23,2.8767e+07,0
1.0389e-06,9,302.23,1,302.23,2.8759e+07,0
1.0389e-06,9,302.22,1,302.22,2.8712e+07,0
1.0389e-06,9,302.21,1,302.21,2.8592e+07,0
1.0389e-06,9,302.19,1,302.19,2.8379e+07,0
1.0389e-06,9,302.17,1,302.17,2.8051e+07,0
1.0389e-06,9,302.13,1,302.13,2.7602e+07,0
1.0389e-06,9,302.09,1,302.09,2.7062e+07,0
1.0389e-06,9,302.05,1,302.05,2.6591e+07,0
1.0389e-06,9,302.03,1,302.03,2.6224e+07,0
1.0389e-06,9,302.86,1,302.85,3.6177e+07,0
1.0389e-06,9,302.85,1,302.85,3.6128e+07,0
1.0389e-06,9,302.84,1,302.84,3.6041e+07,0
1.0389e-06,9,302.84,1,302.83,3.5918e+07,0
1.0389e-06,9,302.82,1,302.82,3.5763e+07,0
1.0389e-06,9,302.81,1,302.81,3.5578e+07,0
1.0389e-06,9,302.79,1,302.79,3.5361e+07,0
1.0389e-06,9,302.77,1,302.77,3.5119e+07,0
1.0389e-06,9,302.75,1,302.75,3.4858e+07,0
1.0389e-06,9,302.73,1,302.73,3.4585e+07,0
1.0389e-06,9,302.71,1,302.71,3.4301e+07,0
1.0389e-06,9,302.69,1,302.69,3.4006e+07,0
1.0389e-06,9,302.67,1,302.67,3.3702e+07,0
1.0389e-06,9,302.64,1,302.64,3.3391e+07,0
1.0389e-06,9,302.62,1,302.62,3.3096e+07,0
1.0389e-06,9,302.6,1,302.6,3.2829e+07,0
1.0389e-06,9,302.58,1,302.58,3.2602e+07,0
1.0389e-06,9,302.57,1,302.56,3.2389e+07,0
1.0389e-06,9,302.55,1,302.55,3.2219e+07,0
1.0389e-06,9,302.54,1,302.54,3.206e+07,0
1.0389e-06,9,302.53,1,302.53,3.1937e+07,0
1.0389e-06,9,302.52,1,302.52,3.1844e+07,0
1.0389e-06,9,302.51,1,302.51,3.175e+07,0
1.0389e-06,9,302.5,1,302.5,3.1639e+07,0
1.0389e-06,9,302.49,1,302.49,3.1519e+07,0
1.0389e-06,9,302.48,1,302.48,3.1355e+07,0
1.0389e-06,9,302.46,1,302.46,3.1142e+07,0
1.0389e-06,9,302.44,1,302.44,3.0878e+07,0
1.0389e-06,9,302.41,1,302.41,3.0555e+07,0
1.0389e-06,9,302.38,1,302.38,3.0187e+07,0
1.0389e-06,9,302.35,1,302.35,2.9793e+07,0
1.0389e-06,9,302.32,1,302.32,2.9405e+07,0
1.0389e-06,9,302.29,1,302.29,2.9091e+07,0
