Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
7.3326e-07,9,302.38,1,302.38,3.1624e+07,0
7.3326e-07,9,302.39,1,302.39,3.1666e+07,0
7.3326e-07,9,302.39,1,302.39,3.1737e+07,0
7.3326e-07,9,302.4,1,302.4,3.1834e+07,0
7.3326e-07,9,302.41,1,302.41,3.1947e+07,0
7.3326e-07,9,302.41,1,302.41,3.2071e+07,0
7.3326e-07,9,302.42,1,302.42,3.22e+07,0
7.3326e-07,9,302.43,1,302.43,3.233e+07,0
7.3326e-07,9,302.44,1,302.44,3.2454e+07,0
7.3326e-07,9,302.45,1,302.45,3.2573e+07,0
7.3326e-07,9,302.46,1,302.46,3.2687e+07,0
7.3326e-07,9,302.47,1,302.47,3.28e+07,0
7.3326e-07,9,302.47,1,302.47,3.2916e+07,0
7.3326e-07,9,302.48,1,302.48,3.3039e+07,0
7.3326e-07,9,302.49,1,302.49,3.3163e+07,0
7.3326e-07,9,302.5,1,302.5,3.3286e+07,0
7.3326e-07,9,302.51,1,302.51,3.3405e+07,0
7.3326e-07,9,302.52,1,302.52,3.3525e+07,0
7.3326e-07,9,302.53,1,302.53,3.3652e+07,0
7.3326e-07,9,302.54,1,302.54,3.3786e+07,0
7.3326e-07,9,302.55,1,302.55,3.3915e+07,0
7.3326e-07,9,302.56,1,302.56,3.404e+07,0
7.3326e-07,9,302.57,1,302.56,3.4164e+07,0
7.3326e-07,9,302.57,1,302.57,3.4289e+07,0
7.3326e-07,9,302.58,1,302.58,3.4419e+07,0
7.3326e-07,9,302.59,1,302.59,3.4555e+07,0
