Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
1.0305e-06,9,303.24,1,303.24,4.1773e+07,0
1.0305e-06,9,303.23,1,303.24,4.1731e+07,0
1.0305e-06,9,303.23,1,303.23,4.1675e+07,0
1.0305e-06,9,303.22,1,303.22,4.1525e+07,0
1.0305e-06,9,303.2,1,303.2,4.1314e+07,0
1.0305e-06,9,303.18,1,303.18,4.1015e+07,0
1.0305e-06,9,303.15,1,303.15,4.0654e+07,0
1.0305e-06,9,303.12,1,303.12,4.0281e+07,0
1.0305e-06,9,303.09,1,303.09,3.9863e+07,0
1.0305e-06,9,303.06,1,303.06,3.9422e+07,0
1.0305e-06,9,303.02,1,303.02,3.8982e+07,0
1.0305e-06,9,302.99,1,302.99,3.8514e+07,0
1.0305e-06,9,302.95,1,302.95,3.8031e+07,0
1.0305e-06,9,302.92,1,302.92,3.7535e+07,0
1.0305e-06,9,302.88,1,302.88,3.707e+07,0
1.0305e-06,9,302.85,1,302.85,3.6648e+07,0
1.0305e-06,9,302.82,1,302.82,3.6288e+07,0
1.0305e-06,9,302.8,1,302.8,3.5983e+07,0
1.0305e-06,9,302.78,1,302.78,3.5745e+07,0
1.0305e-06,9,302.77,1,302.77,3.5559e+07,0
1.0305e-06,9,302.76,1,302.76,3.5444e+07,0
1.0305e-06,9,302.75,1,302.75,3.5381e+07,0
1.0305e-06,9,302.75,1,302.75,3.5336e+07,0
1.0305e-06,9,302.74,1,302.74,3.5326e+07,0
1.0305e-06,9,302.74,1,302.74,3.5312e+07,0
1.0305e-06,9,302.74,1,302.74,3.528e+07,0
1.0305e-06,9,302.73,1,302.73,3.5229e+07,0
1.0305e-06,9,302.72,1,302.72,3.5098e+07,0
1.0305e-06,9,302.7,1,302.7,3.4898e+07,0
1.0305e-06,9,302.68,1,302.68,3.4583e+07,0
1.0305e-06,9,302.64,1,302.64,3.4167e+07,0
1.0305e-06,9,302.6,1,302.6,3.3635e+07,0
1.0305e-06,9,302.55,1,302.55,3.3006e+07,0
1.0305e-06,9,302.5,1,302.5,3.2293e+07,0
1.0305e-06,9,302.45,1,302.45,3.1618e+07,0
1.0305e-06,9,302.4,1,302.4,3.1052e+07,0
1.0305e-06,9,302.37,1,302.37,3.0565e+07,0
1.0305e-06,9,302.34,1,302.34,3.016e+07,0
1.0305e-06,9,302.31,1,302.31,2.9837e+07,0
1.0305e-06,9,302.29,1,302.29,2.9584e+07,0
1.0305e-06,9,302.28,1,302.28,2.9384e+07,0
1.0305e-06,9,302.26,1,302.26,2.9219e+07,0
1.0305e-06,9,302.25,1,302.25,2.9071e+07,0
1.0305e-06,9,302.24,1,302.24,2.8933e+07,0
1.0305e-06,9,302.23,1,302.23,2.8799e+07,0
1.0305e-06,9,302.22,1,302.21,2.8664e+07,0
1.0305e-06,9,302.2,1,302.2,2.8523e+07,0
1.0305e-06,9,302.19,1,302.19,2.8371e+07,0
1.0305e-06,9,302.18,1,302.18,2.821e+07,0
1.0305e-06,9,302.16,1,302.16,2.8044e+07,0
1.0305e-06,9,302.15,1,302.15,2.7873e+07,0
1.0305e-06,9,302.14,1,302.14,2.7689e+07,0
1.0305e-06,9,303.26,1,303.26,4.1699e+07,0
1.0305e-06,9,303.25,1,303.25,4.1669e+07,0
1.0305e-06,9,303.25,1,303.25,4.1592e+07,0
1.0305e-06,9,303.24,1,303.24,4.1456e+07,0
1.0305e-06,9,303.22,1,303.22,4.1254e+07,0
1.0305e-06,9,303.2,1,303.2,4.0988e+07,0
1.0305e-06,9,303.18,1,303.18,4.0661e+07,0
1.0305e-06,9,303.15,1,303.15,4.0285e+07,0
1.0305e-06,9,303.12,1,303.12,3.9875e+07,0
1.0305e-06,9,303.09,1,303.09,3.9447e+07,0
1.0305e-06,9,303.06,1,303.06,3.9004e+07,0
1.0305e-06,9,303.02,1,303.02,3.855e+07,0
1.0305e-06,9,302.99,1,302.99,3.8087e+07,0
1.0305e-06,9,302.95,1,302.95,3.7615e+07,0
1.0305e-06,9,302.92,1,302.92,3.7169e+07,0
1.0305e-06,9,302.89,1,302.89,3.6757e+07,0
1.0305e-06,9,302.86,1,302.86,3.6405e+07,0
1.0305e-06,9,302.84,1,302.84,3.6112e+07,0
1.0305e-06,9,302.82,1,302.82,3.5878e+07,0
1.0305e-06,9,302.81,1,302.81,3.5692e+07,0
1.0305e-06,9,302.79,1,302.79,3.5557e+07,0
1.0305e-06,9,302.79,1,302.79,3.546e+07,0
1.0305e-06,9,302.78,1,302.78,3.5392e+07,0
1.0305e-06,9,302.78,1,302.78,3.5353e+07,0
1.0305e-06,9,302.77,1,302.77,3.5305e+07,0
1.0305e-06,9,302.76,1,302.76,3.5244e+07,0
1.0305e-06,9,302.76,1,302.76,3.5159e+07,0
1.0305e-06,9,302.74,1,302.74,3.5006e+07,0
1.0305e-06,9,302.72,1,302.72,3.4791e+07,0
1.0305e-06,9,302.7,1,302.7,3.447e+07,0
1.0305e-06,9,302.66,1,302.66,3.4057e+07,0
1.0305e-06,9,302.62,1,302.62,3.3537e+07,0
1.0305e-06,9,302.58,1,302.58,3.2936e+07,0
1.0305e-06,9,302.53,1,302.53,3.2273e+07,0
1.0305e-06,9,302.48,1,302.48,3.1625e+07,0
1.0305e-06,9,302.43,1,302.43,3.1062e+07,0
1.0305e-06,9,302.4,1,302.4,3.0581e+07,0
1.0305e-06,9,302.37,1,302.37,3.0177e+07,0
1.0305e-06,9,302.34,1,302.34,2.9846e+07,0
1.0305e-06,9,302.32,1,302.32,2.9581e+07,0
1.0305e-06,9,302.3,1,302.3,2.937e+07,0
1.0305e-06,9,302.29,1,302.29,2.9195e+07,0
1.0305e-06,9,302.27,1,302.27,2.9041e+07,0
1.0305e-06,9,302.26,1,302.26,2.8899e+07,0
1.0305e-06,9,302.25,1,302.25,2.8762e+07,0
1.0305e-06,9,302.24,1,302.24,2.8626e+07,0
