Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
9.4413e-07,9,300.5,1,300.5,5.1821e+06,0
9.4413e-07,9,300.49,1,300.5,5.1261e+06,0
9.4413e-07,9,300.49,1,300.49,5.1109e+06,0
9.4413e-07,9,300.49,1,300.49,5.0714e+06,0
9.4413e-07,9,300.48,1,300.48,5.0405e+06,0
9.4413e-07,9,300.48,1,300.48,4.989e+06,0
9.4413e-07,9,300.47,1,300.48,4.9331e+06,0
9.4413e-07,9,300.47,1,300.47,4.9019e+06,0
9.4413e-07,9,300.47,1,300.47,4.8507e+06,0
9.4413e-07,9,300.46,1,300.46,4.788e+06,0
9.4413e-07,9,300.46,1,300.46,4.7412e+06,0
9.4413e-07,9,300.45,1,300.45,4.6817e+06,0
9.4413e-07,9,300.44,1,300.44,4.6129e+06,0
9.4413e-07,9,300.44,1,300.44,4.5285e+06,0
9.4413e-07,9,300.43,1,300.43,4.4361e+06,0
9.4413e-07,9,300.42,1,300.42,4.3607e+06,0
9.4413e-07,9,300.42,1,300.42,4.306e+06,0
9.4413e-07,9,300.41,1,300.41,4.2654e+06,0
9.4413e-07,9,300.41,1,300.41,4.2172e+06,0
9.4413e-07,9,300.4,1,300.4,4.1646e+06,0
9.4413e-07,9,300.4,1,300.4,4.133e+06,0
9.4413e-07,9,300.4,1,300.4,4.138e+06,0
9.4413e-07,9,300.4,1,300.4,4.1877e+06,0
9.4413e-07,9,300.41,1,300.41,4.2655e+06,0
9.4413e-07,9,300.41,1,300.41,4.3479e+06,0
9.4413e-07,9,300.42,1,300.42,4.4371e+06,0
9.4413e-07,9,300.42,1,300.42,4.5493e+06,0
9.4413e-07,9,300.44,1,300.43,4.7041e+06,0
9.4413e-07,9,300.45,1,300.45,4.9078e+06,0
9.4413e-07,9,300.47,1,300.47,5.1454e+06,0
9.4413e-07,9,300.48,1,300.48,5.4008e+06,0
9.4413e-07,9,300.5,1,300.5,5.6659e+06,0
9.4413e-07,9,300.52,1,300.52,5.9363e+06,0
9.4413e-07,9,300.54,1,300.54,6.2025e+06,0
9.4413e-07,9,300.56,1,300.56,6.4488e+06,0
9.4413e-07,9,300.57,1,300.57,6.6524e+06,0
9.4413e-07,9,300.58,1,300.58,6.7904e+06,0
9.4413e-07,9,300.58,1,300.58,6.8499e+06,0
9.4413e-07,9,300.58,1,300.58,6.8251e+06,0
9.4413e-07,9,300.57,1,300.57,6.6964e+06,0
9.4413e-07,9,300.55,1,300.55,6.4648e+06,0
9.4413e-07,9,300.52,1,300.52,6.1394e+06,0
