Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
8.2716e-07,9,302.5,1,302.5,3.3378e+07,0
8.2716e-07,9,302.5,1,302.5,3.336e+07,0
8.2716e-07,9,302.5,1,302.5,3.3328e+07,0
8.2716e-07,9,302.5,1,302.5,3.3286e+07,0
8.2716e-07,9,302.49,1,302.49,3.3237e+07,0
8.2716e-07,9,302.49,1,302.49,3.3184e+07,0
8.2716e-07,9,302.49,1,302.49,3.3129e+07,0
8.2716e-07,9,302.48,1,302.48,3.3074e+07,0
8.2716e-07,9,302.48,1,302.48,3.3015e+07,0
8.2716e-07,9,302.47,1,302.47,3.2949e+07,0
8.2716e-07,9,302.47,1,302.47,3.2874e+07,0
8.2716e-07,9,302.46,1,302.46,3.2786e+07,0
8.2716e-07,9,302.45,1,302.45,3.2689e+07,0
8.2716e-07,9,302.45,1,302.45,3.2585e+07,0
8.2716e-07,9,302.44,1,302.44,3.2477e+07,0
8.2716e-07,9,302.43,1,302.43,3.2367e+07,0
8.2716e-07,9,302.42,1,302.42,3.2257e+07,0
8.2716e-07,9,302.41,1,302.41,3.2144e+07,0
8.2716e-07,9,302.41,1,302.41,3.2028e+07,0
8.2716e-07,9,302.4,1,302.4,3.1908e+07,0
8.2716e-07,9,302.39,1,302.39,3.1785e+07,0
8.2716e-07,9,302.38,1,302.38,3.166e+07,0
8.2716e-07,9,302.37,1,302.37,3.1534e+07,0
8.2716e-07,9,302.36,1,302.36,3.1408e+07,0
8.2716e-07,9,302.35,1,302.35,3.128e+07,0
8.2716e-07,9,302.34,1,302.34,3.1147e+07,0
