Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
9.1223e-07,9,304.6,1,304.6,6.0678e+07,0
9.1223e-07,9,304.6,1,304.6,6.0694e+07,0
9.1223e-07,9,304.6,1,304.6,6.0721e+07,0
9.1223e-07,9,304.61,1,304.61,6.0762e+07,0
9.1223e-07,9,304.61,1,304.61,6.0816e+07,0
9.1223e-07,9,304.61,1,304.61,6.0875e+07,0
9.1223e-07,9,304.62,1,304.62,6.0935e+07,0
9.1223e-07,9,304.62,1,304.62,6.0995e+07,0
9.1223e-07,9,304.63,1,304.63,6.1059e+07,0
9.1223e-07,9,304.63,1,304.63,6.1131e+07,0
9.1223e-07,9,304.64,1,304.63,6.121e+07,0
9.1223e-07,9,304.64,1,304.64,6.13e+07,0
9.1223e-07,9,304.65,1,304.65,6.14e+07,0
9.1223e-07,9,304.65,1,304.65,6.1511e+07,0
9.1223e-07,9,304.66,1,304.66,6.1634e+07,0
9.1223e-07,9,304.67,1,304.67,6.1769e+07,0
9.1223e-07,9,304.68,1,304.68,6.1918e+07,0
9.1223e-07,9,304.69,1,304.69,6.2078e+07,0
9.1223e-07,9,304.7,1,304.7,6.224e+07,0
9.1223e-07,9,304.71,1,304.71,6.24e+07,0
9.1223e-07,9,304.72,1,304.72,6.2558e+07,0
9.1223e-07,9,304.73,1,304.73,6.272e+07,0
9.1223e-07,9,304.74,1,304.74,6.2893e+07,0
9.1223e-07,9,304.75,1,304.75,6.3085e+07,0
9.1223e-07,9,304.77,1,304.77,6.3297e+07,0
9.1223e-07,9,304.78,1,304.78,6.3523e+07,0
9.1223e-07,9,304.8,1,304.8,6.3757e+07,0
9.1223e-07,9,304.81,1,304.81,6.3995e+07,0
9.1223e-07,9,304.83,1,304.83,6.4245e+07,0
9.1223e-07,9,304.85,1,304.85,6.4513e+07,0
9.1223e-07,9,304.86,1,304.86,6.4804e+07,0
9.1223e-07,9,304.88,1,304.88,6.5113e+07,0
9.1223e-07,9,304.63,1,304.63,6.0701e+07,0
9.1223e-07,9,304.63,1,304.63,6.0716e+07,0
9.1223e-07,9,304.63,1,304.63,6.0742e+07,0
9.1223e-07,9,304.64,1,304.64,6.0779e+07,0
9.1223e-07,9,304.64,1,304.64,6.0826e+07,0
9.1223e-07,9,304.64,1,304.64,6.088e+07,0
9.1223e-07,9,304.65,1,304.65,6.0936e+07,0
9.1223e-07,9,304.65,1,304.65,6.0995e+07,0
9.1223e-07,9,304.66,1,304.65,6.1058e+07,0
9.1223e-07,9,304.66,1,304.66,6.1128e+07,0
9.1223e-07,9,304.66,1,304.66,6.1207e+07,0
9.1223e-07,9,304.67,1,304.67,6.1296e+07,0
9.1223e-07,9,304.68,1,304.68,6.1395e+07,0
9.1223e-07,9,304.68,1,304.68,6.1505e+07,0
