Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
1.0006e-06,9,302.15,1,302.16,2.7131e+07,0
1.0006e-06,9,302.15,1,302.16,2.7093e+07,0
1.0006e-06,9,302.15,1,302.15,2.7077e+07,0
1.0006e-06,9,302.15,1,302.15,2.7024e+07,0
1.0006e-06,9,302.14,1,302.14,2.6978e+07,0
1.0006e-06,9,302.14,1,302.14,2.6912e+07,0
1.0006e-06,9,302.13,1,302.13,2.6836e+07,0
1.0006e-06,9,302.13,1,302.13,2.6784e+07,0
1.0006e-06,9,302.12,1,302.12,2.671e+07,0
1.0006e-06,9,302.11,1,302.11,2.6627e+07,0
1.0006e-06,9,302.11,1,302.11,2.656e+07,0
1.0006e-06,9,302.1,1,302.1,2.6483e+07,0
1.0006e-06,9,302.09,1,302.09,2.6407e+07,0
1.0006e-06,9,302.09,1,302.09,2.6328e+07,0
1.0006e-06,9,302.08,1,302.08,2.6247e+07,0
1.0006e-06,9,302.07,1,302.07,2.6162e+07,0
1.0006e-06,9,302.06,1,302.06,2.6071e+07,0
1.0006e-06,9,302.05,1,302.05,2.5977e+07,0
1.0006e-06,9,302.05,1,302.05,2.5882e+07,0
1.0006e-06,9,302.04,1,302.04,2.5786e+07,0
1.0006e-06,9,302.03,1,302.03,2.5681e+07,0
1.0006e-06,9,302.02,1,302.02,2.557e+07,0
1.0006e-06,9,302.01,1,302.01,2.5466e+07,0
1.0006e-06,9,302,1,302,2.5364e+07,0
1.0006e-06,9,301.99,1,301.99,2.5268e+07,0
1.0006e-06,9,301.98,1,301.98,2.5181e+07,0
1.0006e-06,9,301.98,1,301.98,2.5101e+07,0
1.0006e-06,9,301.97,1,301.97,2.5026e+07,0
1.0006e-06,9,301.96,1,301.96,2.4953e+07,0
1.0006e-06,9,301.96,1,301.96,2.4884e+07,0
1.0006e-06,9,301.95,1,301.95,2.4817e+07,0
1.0006e-06,9,301.94,1,301.94,2.4754e+07,0
1.0006e-06,9,301.94,1,301.94,2.4696e+07,0
1.0006e-06,9,301.93,1,301.93,2.4642e+07,0
1.0006e-06,9,301.93,1,301.93,2.4593e+07,0
1.0006e-06,9,301.92,1,301.92,2.4546e+07,0
1.0006e-06,9,301.92,1,301.92,2.4502e+07,0
1.0006e-06,9,301.91,1,301.91,2.446e+07,0
1.0006e-06,9,301.91,1,301.91,2.4416e+07,0
1.0006e-06,9,301.9,1,301.9,2.4371e+07,0
1.0006e-06,9,301.9,1,301.9,2.4321e+07,0
1.0006e-06,9,301.89,1,301.89,2.4268e+07,0
1.0006e-06,9,301.89,1,301.89,2.4209e+07,0
1.0006e-06,9,301.88,1,301.88,2.4145e+07,0
1.0006e-06,9,301.87,1,301.87,2.4073e+07,0
1.0006e-06,9,301.87,1,301.87,2.3997e+07,0
1.0006e-06,9,301.86,1,301.86,2.3925e+07,0
1.0006e-06,9,301.85,1,301.85,2.3856e+07,0
1.0006e-06,9,301.85,1,301.85,2.379e+07,0
1.0006e-06,9,301.84,1,301.84,2.3726e+07,0
1.0006e-06,9,301.84,1,301.84,2.3657e+07,0
1.0006e-06,9,301.83,1,301.83,2.358e+07,0
1.0006e-06,9,302.19,1,302.19,2.7201e+07,0
1.0006e-06,9,302.18,1,302.18,2.7177e+07,0
1.0006e-06,9,302.18,1,302.18,2.7141e+07,0
1.0006e-06,9,302.18,1,302.18,2.7094e+07,0
1.0006e-06,9,302.17,1,302.17,2.7041e+07,0
1.0006e-06,9,302.17,1,302.17,2.6983e+07,0
1.0006e-06,9,302.16,1,302.16,2.6919e+07,0
1.0006e-06,9,302.16,1,302.16,2.6848e+07,0
1.0006e-06,9,302.15,1,302.15,2.677e+07,0
1.0006e-06,9,302.14,1,302.14,2.6686e+07,0
1.0006e-06,9,302.14,1,302.14,2.6598e+07,0
1.0006e-06,9,302.13,1,302.13,2.6512e+07,0
1.0006e-06,9,302.12,1,302.12,2.6428e+07,0
1.0006e-06,9,302.12,1,302.12,2.6347e+07,0
1.0006e-06,9,302.11,1,302.11,2.6266e+07,0
1.0006e-06,9,302.1,1,302.1,2.6184e+07,0
1.0006e-06,9,302.09,1,302.09,2.6098e+07,0
1.0006e-06,9,302.09,1,302.09,2.6004e+07,0
1.0006e-06,9,302.08,1,302.08,2.5906e+07,0
1.0006e-06,9,302.07,1,302.07,2.5807e+07,0
1.0006e-06,9,302.06,1,302.06,2.5698e+07,0
1.0006e-06,9,302.05,1,302.05,2.5589e+07,0
1.0006e-06,9,302.04,1,302.04,2.5486e+07,0
1.0006e-06,9,302.03,1,302.03,2.5386e+07,0
1.0006e-06,9,302.02,1,302.02,2.5292e+07,0
1.0006e-06,9,302.02,1,302.02,2.5205e+07,0
1.0006e-06,9,302.01,1,302.01,2.5123e+07,0
1.0006e-06,9,302,1,302,2.5046e+07,0
1.0006e-06,9,301.99,1,301.99,2.4973e+07,0
1.0006e-06,9,301.99,1,301.99,2.4902e+07,0
1.0006e-06,9,301.98,1,301.98,2.4835e+07,0
1.0006e-06,9,301.97,1,301.97,2.477e+07,0
1.0006e-06,9,301.97,1,301.97,2.4711e+07,0
1.0006e-06,9,301.96,1,301.96,2.4656e+07,0
1.0006e-06,9,301.96,1,301.96,2.4605e+07,0
1.0006e-06,9,301.95,1,301.95,2.4556e+07,0
1.0006e-06,9,301.95,1,301.95,2.4511e+07,0
1.0006e-06,9,301.94,1,301.94,2.4466e+07,0
1.0006e-06,9,301.94,1,301.94,2.4421e+07,0
1.0006e-06,9,301.93,1,301.93,2.4374e+07,0
1.0006e-06,9,301.93,1,301.92,2.4324e+07,0
1.0006e-06,9,301.92,1,301.92,2.4271e+07,0
1.0006e-06,9,301.91,1,301.91,2.4211e+07,0
1.0006e-06,9,301.91,1,301.91,2.4148e+07,0
1.0006e-06,9,301.9,1,301.9,2.4078e+07,0
1.0006e-06,9,301.89,1,301.89,2.4003e+07,0
1.0006e-06,9,301.89,1,301.89,2.3931e+07,0
1.0006e-06,9,301.88,1,301.88,2.386e+07,0
1.0006e-06,9,301.87,1,301.87,2.3792e+07,0
1.0006e-06,9,301.87,1,301.87,2.3725e+07,0
1.0006e-06,9,301.86,1,301.86,2.3654e+07,0
1.0006e-06,9,301.85,1,301.85,2.3574e+07,0
