Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
1.03e-06,9,303.23,1,303.23,4.1691e+07,0
1.03e-06,9,303.23,1,303.23,4.1644e+07,0
1.03e-06,9,303.22,1,303.22,4.1574e+07,0
1.03e-06,9,303.21,1,303.21,4.1405e+07,0
1.03e-06,9,303.19,1,303.19,4.1172e+07,0
1.03e-06,9,303.16,1,303.17,4.0854e+07,0
1.03e-06,9,303.14,1,303.14,4.0483e+07,0
1.03e-06,9,303.11,1,303.11,4.0113e+07,0
1.03e-06,9,303.08,1,303.08,3.971e+07,0
1.03e-06,9,303.05,1,303.05,3.9294e+07,0
1.03e-06,9,303.02,1,303.02,3.8884e+07,0
1.03e-06,9,302.98,1,302.98,3.8449e+07,0
1.03e-06,9,302.95,1,302.95,3.7995e+07,0
1.03e-06,9,302.92,1,302.92,3.7547e+07,0
1.03e-06,9,302.89,1,302.89,3.7137e+07,0
1.03e-06,9,302.86,1,302.86,3.6776e+07,0
1.03e-06,9,302.84,1,302.84,3.648e+07,0
1.03e-06,9,302.82,1,302.82,3.6249e+07,0
1.03e-06,9,302.81,1,302.81,3.609e+07,0
1.03e-06,9,302.8,1,302.8,3.5987e+07,0
1.03e-06,9,302.79,1,302.79,3.5946e+07,0
1.03e-06,9,302.79,1,302.79,3.5927e+07,0
1.03e-06,9,302.79,1,302.79,3.59e+07,0
1.03e-06,9,302.79,1,302.79,3.5891e+07,0
1.03e-06,9,302.78,1,302.78,3.587e+07,0
1.03e-06,9,302.77,1,302.77,3.5789e+07,0
1.03e-06,9,302.76,1,302.76,3.5658e+07,0
1.03e-06,9,302.74,1,302.74,3.5421e+07,0
1.03e-06,9,302.72,1,302.72,3.509e+07,0
1.03e-06,9,302.68,1,302.68,3.4638e+07,0
1.03e-06,9,302.64,1,302.64,3.4081e+07,0
1.03e-06,9,302.59,1,302.58,3.3424e+07,0
1.03e-06,9,302.53,1,302.53,3.2695e+07,0
1.03e-06,9,302.48,1,302.48,3.1996e+07,0
1.03e-06,9,302.43,1,302.43,3.1414e+07,0
1.03e-06,9,302.4,1,302.39,3.0921e+07,0
1.03e-06,9,302.36,1,302.36,3.0507e+07,0
1.03e-06,9,302.34,1,302.34,3.0176e+07,0
1.03e-06,9,302.32,1,302.32,2.9915e+07,0
1.03e-06,9,302.3,1,302.3,2.9704e+07,0
1.03e-06,9,302.29,1,302.29,2.9526e+07,0
1.03e-06,9,302.27,1,302.27,2.9365e+07,0
1.03e-06,9,302.26,1,302.26,2.9214e+07,0
1.03e-06,9,302.25,1,302.25,2.9066e+07,0
1.03e-06,9,302.24,1,302.24,2.8918e+07,0
1.03e-06,9,302.22,1,302.22,2.8767e+07,0
1.03e-06,9,302.21,1,302.21,2.8611e+07,0
1.03e-06,9,302.2,1,302.2,2.8447e+07,0
1.03e-06,9,302.18,1,302.18,2.8278e+07,0
1.03e-06,9,302.17,1,302.17,2.8103e+07,0
1.03e-06,9,302.15,1,302.15,2.7912e+07,0
1.03e-06,9,302.14,1,302.14,2.77e+07,0
1.03e-06,9,303.25,1,303.25,4.1625e+07,0
1.03e-06,9,303.25,1,303.25,4.1591e+07,0
1.03e-06,9,303.24,1,303.24,4.1506e+07,0
1.03e-06,9,303.23,1,303.23,4.1359e+07,0
1.03e-06,9,303.21,1,303.21,4.1144e+07,0
1.03e-06,9,303.19,1,303.19,4.0862e+07,0
1.03e-06,9,303.17,1,303.17,4.053e+07,0
1.03e-06,9,303.14,1,303.14,4.0163e+07,0
1.03e-06,9,303.11,1,303.11,3.9775e+07,0
1.03e-06,9,303.08,1,303.08,3.9373e+07,0
1.03e-06,9,303.05,1,303.05,3.8959e+07,0
1.03e-06,9,303.02,1,303.02,3.8532e+07,0
1.03e-06,9,302.99,1,302.99,3.8093e+07,0
1.03e-06,9,302.96,1,302.95,3.7661e+07,0
1.03e-06,9,302.93,1,302.93,3.727e+07,0
1.03e-06,9,302.9,1,302.9,3.6925e+07,0
1.03e-06,9,302.88,1,302.88,3.6648e+07,0
1.03e-06,9,302.86,1,302.86,3.6423e+07,0
1.03e-06,9,302.85,1,302.85,3.6248e+07,0
1.03e-06,9,302.84,1,302.84,3.6114e+07,0
1.03e-06,9,302.83,1,302.83,3.6031e+07,0
1.03e-06,9,302.82,1,302.82,3.5975e+07,0
1.03e-06,9,302.82,1,302.82,3.592e+07,0
1.03e-06,9,302.81,1,302.81,3.5876e+07,0
1.03e-06,9,302.81,1,302.81,3.5813e+07,0
1.03e-06,9,302.8,1,302.8,3.5705e+07,0
1.03e-06,9,302.78,1,302.78,3.5549e+07,0
1.03e-06,9,302.76,1,302.76,3.5298e+07,0
1.03e-06,9,302.74,1,302.74,3.4963e+07,0
1.03e-06,9,302.7,1,302.7,3.4516e+07,0
1.03e-06,9,302.66,1,302.66,3.3975e+07,0
1.03e-06,9,302.61,1,302.61,3.3348e+07,0
1.03e-06,9,302.56,1,302.56,3.2671e+07,0
1.03e-06,9,302.51,1,302.51,3.2009e+07,0
1.03e-06,9,302.46,1,302.46,3.1425e+07,0
1.03e-06,9,302.42,1,302.42,3.0931e+07,0
1.03e-06,9,302.39,1,302.39,3.0516e+07,0
1.03e-06,9,302.37,1,302.37,3.0174e+07,0
1.03e-06,9,302.34,1,302.34,2.9897e+07,0
1.03e-06,9,302.33,1,302.33,2.9674e+07,0
1.03e-06,9,302.31,1,302.31,2.949e+07,0
1.03e-06,9,302.3,1,302.3,2.9327e+07,0
1.03e-06,9,302.28,1,302.28,2.9176e+07,0
1.03e-06,9,302.27,1,302.27,2.9029e+07,0
1.03e-06,9,302.26,1,302.26,2.8883e+07,0
1.03e-06,9,302.25,1,302.25,2.8735e+07,0
1.03e-06,9,302.23,1,302.23,2.858e+07,0
1.03e-06,9,302.22,1,302.22,2.8415e+07,0
1.03e-06,9,302.2,1,302.2,2.8242e+07,0
1.03e-06,9,302.19,1,302.19,2.8063e+07,0
1.03e-06,9,302.17,1,302.17,2.7874e+07,0
1.03e-06,9,302.16,1,302.16,2.7668e+07,0
