Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
1.0544e-06,9,302.28,1,302.29,2.8835e+07,0
1.0544e-06,9,302.28,1,302.28,2.8744e+07,0
1.0544e-06,9,302.27,1,302.27,2.8589e+07,0
1.0544e-06,9,302.24,1,302.25,2.8308e+07,0
1.0544e-06,9,302.22,1,302.22,2.797e+07,0
1.0544e-06,9,302.19,1,302.19,2.7579e+07,0
1.0544e-06,9,302.16,1,302.16,2.7169e+07,0
1.0544e-06,9,302.13,1,302.13,2.6787e+07,0
1.0544e-06,9,302.1,1,302.1,2.6391e+07,0
1.0544e-06,9,302.07,1,302.07,2.5979e+07,0
1.0544e-06,9,302.03,1,302.03,2.5559e+07,0
1.0544e-06,9,302,1,302,2.5127e+07,0
1.0544e-06,9,301.97,1,301.97,2.4715e+07,0
1.0544e-06,9,301.94,1,301.94,2.4316e+07,0
1.0544e-06,9,301.91,1,301.91,2.3947e+07,0
1.0544e-06,9,301.89,1,301.89,2.3642e+07,0
1.0544e-06,9,301.86,1,301.86,2.3349e+07,0
1.0544e-06,9,301.84,1,301.84,2.3046e+07,0
1.0544e-06,9,301.82,1,301.82,2.2814e+07,0
1.0544e-06,9,301.8,1,301.8,2.2582e+07,0
1.0544e-06,9,301.78,1,301.78,2.2346e+07,0
1.0544e-06,9,301.77,1,301.76,2.2118e+07,0
1.0544e-06,9,301.75,1,301.75,2.1907e+07,0
1.0544e-06,9,301.73,1,301.73,2.1717e+07,0
1.0544e-06,9,301.72,1,301.72,2.1544e+07,0
1.0544e-06,9,301.7,1,301.7,2.1381e+07,0
1.0544e-06,9,301.69,1,301.69,2.1224e+07,0
1.0544e-06,9,301.68,1,301.68,2.1086e+07,0
1.0544e-06,9,301.67,1,301.67,2.1023e+07,0
1.0544e-06,9,301.67,1,301.67,2.1013e+07,0
1.0544e-06,9,301.67,1,301.67,2.1039e+07,0
1.0544e-06,9,301.68,1,301.68,2.1119e+07,0
1.0544e-06,9,301.68,1,301.68,2.1252e+07,0
1.0544e-06,9,301.7,1,301.7,2.1421e+07,0
1.0544e-06,9,301.71,1,301.71,2.1587e+07,0
1.0544e-06,9,301.71,1,301.71,2.1726e+07,0
1.0544e-06,9,301.72,1,301.72,2.1827e+07,0
1.0544e-06,9,301.72,1,301.72,2.1893e+07,0
