Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
7.5453e-07,9,301.43,1,301.43,1.8911e+07,0
7.5453e-07,9,301.43,1,301.43,1.8938e+07,0
7.5453e-07,9,301.44,1,301.44,1.8977e+07,0
7.5453e-07,9,301.44,1,301.44,1.9021e+07,0
7.5453e-07,9,301.44,1,301.44,1.9063e+07,0
7.5453e-07,9,301.45,1,301.44,1.9105e+07,0
7.5453e-07,9,301.45,1,301.45,1.9154e+07,0
7.5453e-07,9,301.45,1,301.45,1.9216e+07,0
7.5453e-07,9,301.46,1,301.46,1.9296e+07,0
7.5453e-07,9,301.47,1,301.47,1.9393e+07,0
7.5453e-07,9,301.48,1,301.48,1.9509e+07,0
7.5453e-07,9,301.49,1,301.49,1.9644e+07,0
7.5453e-07,9,301.5,1,301.5,1.9802e+07,0
7.5453e-07,9,301.51,1,301.51,1.9987e+07,0
7.5453e-07,9,301.53,1,301.53,2.0201e+07,0
7.5453e-07,9,301.55,1,301.55,2.044e+07,0
7.5453e-07,9,301.57,1,301.57,2.0696e+07,0
7.5453e-07,9,301.59,1,301.59,2.0961e+07,0
7.5453e-07,9,301.61,1,301.61,2.123e+07,0
7.5453e-07,9,301.63,1,301.63,2.1498e+07,0
7.5453e-07,9,301.65,1,301.65,2.1768e+07,0
7.5453e-07,9,301.67,1,301.67,2.2043e+07,0
7.5453e-07,9,301.69,1,301.69,2.2327e+07,0
7.5453e-07,9,301.71,1,301.71,2.2629e+07,0
7.5453e-07,9,301.74,1,301.74,2.2961e+07,0
7.5453e-07,9,301.76,1,301.76,2.3327e+07,0
