Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
9.085e-07,9,305.65,1,305.65,7.5928e+07,0
9.085e-07,9,305.67,1,305.67,7.633e+07,0
9.085e-07,9,305.7,1,305.7,7.6741e+07,0
9.085e-07,9,305.73,1,305.73,7.7163e+07,0
9.085e-07,9,305.76,1,305.76,7.7605e+07,0
9.085e-07,9,305.79,1,305.79,7.8076e+07,0
9.085e-07,9,305.82,1,305.82,7.8576e+07,0
9.085e-07,9,305.86,1,305.86,7.9102e+07,0
9.085e-07,9,305.9,1,305.9,7.9652e+07,0
9.085e-07,9,305.93,1,305.93,8.023e+07,0
9.085e-07,9,305.98,1,305.98,8.0846e+07,0
9.085e-07,9,306.02,1,306.02,8.1494e+07,0
9.085e-07,9,306.06,1,306.06,8.2155e+07,0
9.085e-07,9,306.11,1,306.11,8.282e+07,0
9.085e-07,9,306.16,1,306.16,8.3501e+07,0
9.085e-07,9,306.2,1,306.2,8.4205e+07,0
9.085e-07,9,306.25,1,306.25,8.4929e+07,0
9.085e-07,9,306.3,1,306.3,8.5664e+07,0
9.085e-07,9,306.36,1,306.36,8.6443e+07,0
9.085e-07,9,306.41,1,306.41,8.7261e+07,0
9.085e-07,9,305.68,1,305.68,7.5971e+07,0
9.085e-07,9,305.71,1,305.71,7.6371e+07,0
9.085e-07,9,305.73,1,305.73,7.6782e+07,0
9.085e-07,9,305.76,1,305.76,7.721e+07,0
9.085e-07,9,305.79,1,305.79,7.7661e+07,0
9.085e-07,9,305.82,1,305.82,7.8138e+07,0
9.085e-07,9,305.86,1,305.86,7.8641e+07,0
9.085e-07,9,305.89,1,305.89,7.9167e+07,0
9.085e-07,9,305.93,1,305.93,7.9712e+07,0
9.085e-07,9,305.97,1,305.97,8.0286e+07,0
9.085e-07,9,306.01,1,306.01,8.0891e+07,0
9.085e-07,9,306.05,1,306.05,8.1524e+07,0
9.085e-07,9,306.09,1,306.09,8.2177e+07,0
9.085e-07,9,306.14,1,306.14,8.2846e+07,0
9.085e-07,9,306.18,1,306.18,8.3537e+07,0
