Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
9.8671e-07,9,302.07,1,302.07,2.6012e+07,0
9.8671e-07,9,302.07,1,302.08,2.6002e+07,0
9.8671e-07,9,302.07,1,302.07,2.6023e+07,0
9.8671e-07,9,302.07,1,302.07,2.6015e+07,0
9.8671e-07,9,302.07,1,302.07,2.6014e+07,0
9.8671e-07,9,302.07,1,302.07,2.5989e+07,0
9.8671e-07,9,302.07,1,302.07,2.5954e+07,0
9.8671e-07,9,302.06,1,302.06,2.5942e+07,0
9.8671e-07,9,302.06,1,302.06,2.5904e+07,0
9.8671e-07,9,302.06,1,302.06,2.5852e+07,0
9.8671e-07,9,302.05,1,302.05,2.5805e+07,0
9.8671e-07,9,302.04,1,302.04,2.5739e+07,0
9.8671e-07,9,302.04,1,302.04,2.5665e+07,0
9.8671e-07,9,302.03,1,302.03,2.5582e+07,0
9.8671e-07,9,302.02,1,302.02,2.5491e+07,0
9.8671e-07,9,302.01,1,302.01,2.5395e+07,0
9.8671e-07,9,302.01,1,302.01,2.5296e+07,0
9.8671e-07,9,302,1,302,2.5195e+07,0
9.8671e-07,9,301.99,1,301.99,2.509e+07,0
9.8671e-07,9,301.98,1,301.98,2.4977e+07,0
9.8671e-07,9,301.97,1,301.97,2.4855e+07,0
9.8671e-07,9,301.96,1,301.95,2.4713e+07,0
9.8671e-07,9,301.94,1,301.94,2.4578e+07,0
9.8671e-07,9,301.93,1,301.93,2.4432e+07,0
9.8671e-07,9,301.92,1,301.92,2.4276e+07,0
9.8671e-07,9,301.9,1,301.9,2.411e+07,0
9.8671e-07,9,301.89,1,301.89,2.3938e+07,0
9.8671e-07,9,301.88,1,301.88,2.3768e+07,0
9.8671e-07,9,301.86,1,301.86,2.3606e+07,0
9.8671e-07,9,301.85,1,301.85,2.3457e+07,0
9.8671e-07,9,301.84,1,301.84,2.3323e+07,0
9.8671e-07,9,301.83,1,301.83,2.3203e+07,0
9.8671e-07,9,301.82,1,301.82,2.3093e+07,0
9.8671e-07,9,301.81,1,301.81,2.2988e+07,0
9.8671e-07,9,301.8,1,301.8,2.288e+07,0
9.8671e-07,9,301.79,1,301.79,2.2752e+07,0
9.8671e-07,9,301.77,1,301.77,2.2603e+07,0
9.8671e-07,9,301.76,1,301.76,2.2419e+07,0
9.8671e-07,9,301.74,1,301.74,2.2202e+07,0
9.8671e-07,9,301.72,1,301.72,2.1939e+07,0
9.8671e-07,9,301.69,1,301.69,2.163e+07,0
9.8671e-07,9,301.67,1,301.66,2.1267e+07,0
9.8671e-07,9,301.63,1,301.63,2.0846e+07,0
9.8671e-07,9,301.6,1,301.6,2.0392e+07,0
9.8671e-07,9,301.57,1,301.57,1.9999e+07,0
9.8671e-07,9,301.54,1,301.54,1.9677e+07,0
9.8671e-07,9,301.52,1,301.52,1.9416e+07,0
9.8671e-07,9,301.5,1,301.5,1.9206e+07,0
9.8671e-07,9,301.49,1,301.49,1.9039e+07,0
9.8671e-07,9,301.48,1,301.48,1.8904e+07,0
