Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
8.2011e-07,9,302.3,1,302.3,3.0648e+07,0
8.2011e-07,9,302.3,1,302.3,3.0635e+07,0
8.2011e-07,9,302.3,1,302.3,3.0614e+07,0
8.2011e-07,9,302.3,1,302.3,3.0583e+07,0
8.2011e-07,9,302.3,1,302.3,3.0546e+07,0
8.2011e-07,9,302.29,1,302.29,3.0504e+07,0
8.2011e-07,9,302.29,1,302.29,3.0462e+07,0
8.2011e-07,9,302.29,1,302.29,3.042e+07,0
8.2011e-07,9,302.28,1,302.28,3.0376e+07,0
8.2011e-07,9,302.28,1,302.28,3.0328e+07,0
8.2011e-07,9,302.28,1,302.28,3.0274e+07,0
8.2011e-07,9,302.27,1,302.27,3.0213e+07,0
8.2011e-07,9,302.27,1,302.27,3.0146e+07,0
8.2011e-07,9,302.26,1,302.26,3.0074e+07,0
8.2011e-07,9,302.26,1,302.26,2.9998e+07,0
8.2011e-07,9,302.25,1,302.25,2.992e+07,0
8.2011e-07,9,302.24,1,302.24,2.984e+07,0
8.2011e-07,9,302.24,1,302.24,2.9756e+07,0
8.2011e-07,9,302.23,1,302.23,2.9666e+07,0
8.2011e-07,9,302.22,1,302.22,2.9569e+07,0
8.2011e-07,9,302.22,1,302.22,2.9464e+07,0
8.2011e-07,9,302.21,1,302.21,2.9355e+07,0
8.2011e-07,9,302.2,1,302.2,2.9242e+07,0
8.2011e-07,9,302.19,1,302.19,2.9126e+07,0
8.2011e-07,9,302.18,1,302.18,2.9006e+07,0
8.2011e-07,9,302.17,1,302.17,2.8881e+07,0
