Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
8.9373e-07,9,310.09,1,310.09,1.4118e+08,0
8.9373e-07,9,310.09,1,310.09,1.4122e+08,0
8.9373e-07,9,310.1,1,310.09,1.4127e+08,0
8.9373e-07,9,310.1,1,310.1,1.4138e+08,0
8.9373e-07,9,310.11,1,310.11,1.4152e+08,0
8.9373e-07,9,310.12,1,310.12,1.4169e+08,0
8.9373e-07,9,310.13,1,310.13,1.4188e+08,0
8.9373e-07,9,310.15,1,310.15,1.4209e+08,0
8.9373e-07,9,310.16,1,310.16,1.4235e+08,0
8.9373e-07,9,310.18,1,310.18,1.4263e+08,0
8.9373e-07,9,310.2,1,310.2,1.4295e+08,0
8.9373e-07,9,310.22,1,310.22,1.4329e+08,0
8.9373e-07,9,310.24,1,310.24,1.4365e+08,0
8.9373e-07,9,310.27,1,310.27,1.4405e+08,0
8.9373e-07,9,310.29,1,310.29,1.4448e+08,0
8.9373e-07,9,310.32,1,310.32,1.4496e+08,0
8.9373e-07,9,310.36,1,310.36,1.4548e+08,0
8.9373e-07,9,310.39,1,310.39,1.4602e+08,0
8.9373e-07,9,310.43,1,310.43,1.4661e+08,0
8.9373e-07,9,310.47,1,310.47,1.4722e+08,0
8.9373e-07,9,310.51,1,310.51,1.4788e+08,0
8.9373e-07,9,310.55,1,310.55,1.4857e+08,0
8.9373e-07,9,310.6,1,310.6,1.493e+08,0
8.9373e-07,9,310.64,1,310.64,1.5005e+08,0
8.9373e-07,9,310.69,1,310.69,1.5085e+08,0
8.9373e-07,9,310.75,1,310.74,1.517e+08,0
8.9373e-07,9,310.8,1,310.8,1.5259e+08,0
8.9373e-07,9,310.86,1,310.86,1.5354e+08,0
8.9373e-07,9,310.92,1,310.92,1.5452e+08,0
8.9373e-07,9,310.99,1,310.99,1.5555e+08,0
8.9373e-07,9,311.05,1,311.05,1.5663e+08,0
8.9373e-07,9,311.12,1,311.12,1.5774e+08,0
8.9373e-07,9,311.2,1,311.19,1.5889e+08,0
8.9373e-07,9,311.27,1,311.27,1.6008e+08,0
8.9373e-07,9,311.35,1,311.35,1.613e+08,0
8.9373e-07,9,311.42,1,311.42,1.6258e+08,0
8.9373e-07,9,311.51,1,311.51,1.639e+08,0
8.9373e-07,9,311.59,1,311.59,1.6527e+08,0
8.9373e-07,9,311.68,1,311.68,1.667e+08,0
8.9373e-07,9,311.77,1,311.77,1.6819e+08,0
8.9373e-07,9,311.87,1,311.87,1.6975e+08,0
8.9373e-07,9,311.97,1,311.97,1.7139e+08,0
8.9373e-07,9,312.08,1,312.08,1.7311e+08,0
8.9373e-07,9,312.19,1,312.19,1.7492e+08,0
8.9373e-07,9,312.31,1,312.31,1.7681e+08,0
8.9373e-07,9,312.43,1,312.43,1.7877e+08,0
8.9373e-07,9,312.56,1,312.56,1.8081e+08,0
