Time,"Tm","pressure","Points:0","Points:1","Points:2"
8.1807e-07,302.24,3.0005e+07,0,0,0
8.1807e-07,302.24,3.0004e+07,5e-07,0,0
8.1807e-07,302.24,3.0003e+07,1e-06,0,0
8.1807e-07,302.24,3.0002e+07,1.5e-06,0,0
8.1807e-07,302.24,3e+07,2e-06,0,0
8.1807e-07,302.24,2.9997e+07,2.5e-06,0,0
8.1807e-07,302.24,2.9994e+07,3e-06,0,0
8.1807e-07,302.24,2.9991e+07,3.5e-06,0,0
8.1807e-07,302.24,2.9987e+07,4e-06,0,0
8.1807e-07,302.24,2.9983e+07,4.5e-06,0,0
8.1807e-07,302.24,2.9978e+07,5e-06,0,0
8.1807e-07,302.24,2.9974e+07,5.5e-06,0,0
8.1807e-07,302.24,2.9969e+07,6e-06,0,0
8.1807e-07,302.24,2.9964e+07,6.5e-06,0,0
8.1807e-07,302.24,2.9958e+07,7e-06,0,0
8.1807e-07,302.24,2.9953e+07,7.5e-06,0,0
8.1807e-07,302.24,2.9947e+07,8e-06,0,0
8.1807e-07,302.24,2.9941e+07,8.5e-06,0,0
8.1807e-07,302.24,2.9934e+07,9e-06,0,0
8.1807e-07,302.24,2.9928e+07,9.5e-06,0,0
8.1807e-07,302.24,2.9921e+07,1e-05,0,0
8.1807e-07,302.24,2.9914e+07,1.05e-05,0,0
8.1807e-07,302.24,2.9907e+07,1.1e-05,0,0
8.1807e-07,302.24,2.9899e+07,1.15e-05,0,0
8.1807e-07,302.24,2.9891e+07,1.2e-05,0,0
8.1807e-07,302.23,2.9882e+07,1.25e-05,0,0
8.1807e-07,302.23,2.9873e+07,1.3e-05,0,0
8.1807e-07,302.23,2.9864e+07,1.35e-05,0,0
8.1807e-07,302.23,2.9854e+07,1.4e-05,0,0
8.1807e-07,302.23,2.9843e+07,1.45e-05,0,0
8.1807e-07,302.23,2.9832e+07,1.5e-05,0,0
8.1807e-07,302.23,2.9821e+07,1.55e-05,0,0
8.1807e-07,302.23,2.9809e+07,1.6e-05,0,0
8.1807e-07,302.23,2.9796e+07,1.65e-05,0,0
8.1807e-07,302.23,2.9783e+07,1.7e-05,0,0
8.1807e-07,302.23,2.9771e+07,1.75e-05,0,0
8.1807e-07,302.23,2.9757e+07,1.8e-05,0,0
8.1807e-07,302.22,2.9743e+07,1.85e-05,0,0
8.1807e-07,302.22,2.9729e+07,1.9e-05,0,0
8.1807e-07,302.22,2.9715e+07,1.95e-05,0,0
8.1807e-07,302.22,2.97e+07,2e-05,0,0
8.1807e-07,302.22,2.9684e+07,2.05e-05,0,0
8.1807e-07,302.22,2.9669e+07,2.1e-05,0,0
8.1807e-07,302.22,2.9654e+07,2.15e-05,0,0
8.1807e-07,302.22,2.9638e+07,2.2e-05,0,0
8.1807e-07,302.22,2.9622e+07,2.25e-05,0,0
8.1807e-07,302.21,2.9606e+07,2.3e-05,0,0
8.1807e-07,302.21,2.959e+07,2.35e-05,0,0
8.1807e-07,302.21,2.9573e+07,2.4e-05,0,0
8.1807e-07,302.21,2.9556e+07,2.45e-05,0,0
8.1807e-07,302.21,2.9539e+07,2.5e-05,0,0
8.1807e-07,302.21,2.9522e+07,2.55e-05,0,0
8.1807e-07,302.21,2.9504e+07,2.6e-05,0,0
8.1807e-07,302.21,2.9487e+07,2.65e-05,0,0
8.1807e-07,302.2,2.9469e+07,2.7e-05,0,0
8.1807e-07,302.2,2.9451e+07,2.75e-05,0,0
8.1807e-07,302.2,2.9432e+07,2.8e-05,0,0
8.1807e-07,302.2,2.9413e+07,2.85e-05,0,0
8.1807e-07,302.2,2.9395e+07,2.9e-05,0,0
8.1807e-07,302.2,2.9375e+07,2.95e-05,0,0
8.1807e-07,302.2,2.9355e+07,3e-05,0,0
8.1807e-07,302.19,2.9336e+07,3.05e-05,0,0
8.1807e-07,302.19,2.9316e+07,3.1e-05,0,0
8.1807e-07,302.19,2.9295e+07,3.15e-05,0,0
8.1807e-07,302.19,2.9274e+07,3.2e-05,0,0
8.1807e-07,302.19,2.9253e+07,3.25e-05,0,0
8.1807e-07,302.19,2.9231e+07,3.3e-05,0,0
8.1807e-07,302.19,2.9209e+07,3.35e-05,0,0
8.1807e-07,302.18,2.9186e+07,3.4e-05,0,0
8.1807e-07,302.18,2.9162e+07,3.45e-05,0,0
8.1807e-07,302.18,2.9139e+07,3.5e-05,0,0
8.1807e-07,302.18,2.9114e+07,3.55e-05,0,0
8.1807e-07,302.18,2.9089e+07,3.6e-05,0,0
8.1807e-07,302.17,2.9063e+07,3.65e-05,0,0
