Time,"Tm","pressure","Points:0","Points:1","Points:2"
1.0717e-06,302.24,2.7995e+07,0,0,0
1.0717e-06,302.24,2.7985e+07,5e-07,0,0
1.0717e-06,302.24,2.7951e+07,1e-06,0,0
1.0717e-06,302.24,2.7895e+07,1.5e-06,0,0
1.0717e-06,302.23,2.7812e+07,2e-06,0,0
1.0717e-06,302.23,2.771e+07,2.5e-06,0,0
1.0717e-06,302.21,2.7595e+07,3e-06,0,0
1.0717e-06,302.2,2.7463e+07,3.5e-06,0,0
1.0717e-06,302.18,2.7313e+07,4e-06,0,0
1.0717e-06,302.17,2.7141e+07,4.5e-06,0,0
1.0717e-06,302.16,2.6939e+07,5e-06,0,0
1.0717e-06,302.15,2.6733e+07,5.5e-06,0,0
1.0717e-06,302.13,2.6543e+07,6e-06,0,0
1.0717e-06,302.1,2.6331e+07,6.5e-06,0,0
1.0717e-06,302.09,2.6087e+07,7e-06,0,0
1.0717e-06,302.07,2.5831e+07,7.5e-06,0,0
1.0717e-06,302.05,2.5568e+07,8e-06,0,0
1.0717e-06,302.03,2.5302e+07,8.5e-06,0,0
1.0717e-06,302.01,2.5036e+07,9e-06,0,0
1.0717e-06,301.99,2.477e+07,9.5e-06,0,0
1.0717e-06,301.97,2.4504e+07,1e-05,0,0
1.0717e-06,301.95,2.4235e+07,1.05e-05,0,0
1.0717e-06,301.93,2.3966e+07,1.1e-05,0,0
1.0717e-06,301.91,2.3703e+07,1.15e-05,0,0
1.0717e-06,301.88,2.3445e+07,1.2e-05,0,0
1.0717e-06,301.86,2.3182e+07,1.25e-05,0,0
1.0717e-06,301.84,2.2917e+07,1.3e-05,0,0
1.0717e-06,301.82,2.2659e+07,1.35e-05,0,0
1.0717e-06,301.8,2.2414e+07,1.4e-05,0,0
1.0717e-06,301.78,2.2167e+07,1.45e-05,0,0
1.0717e-06,301.76,2.1919e+07,1.5e-05,0,0
1.0717e-06,301.75,2.1767e+07,1.55e-05,0,0
1.0717e-06,301.73,2.149e+07,1.6e-05,0,0
1.0717e-06,301.71,2.128e+07,1.65e-05,0,0
1.0717e-06,301.7,2.1078e+07,1.7e-05,0,0
1.0717e-06,301.68,2.0879e+07,1.75e-05,0,0
1.0717e-06,301.67,2.0691e+07,1.8e-05,0,0
1.0717e-06,301.65,2.0506e+07,1.85e-05,0,0
1.0717e-06,301.64,2.0335e+07,1.9e-05,0,0
1.0717e-06,301.62,2.0166e+07,1.95e-05,0,0
1.0717e-06,301.61,2.0012e+07,2e-05,0,0
1.0717e-06,301.6,1.9858e+07,2.05e-05,0,0
1.0717e-06,301.59,1.9717e+07,2.1e-05,0,0
1.0717e-06,301.58,1.9577e+07,2.15e-05,0,0
1.0717e-06,301.57,1.9443e+07,2.2e-05,0,0
1.0717e-06,301.56,1.9309e+07,2.25e-05,0,0
1.0717e-06,301.55,1.9177e+07,2.3e-05,0,0
1.0717e-06,301.53,1.9044e+07,2.35e-05,0,0
1.0717e-06,301.52,1.8911e+07,2.4e-05,0,0
1.0717e-06,301.51,1.8777e+07,2.45e-05,0,0
1.0717e-06,301.5,1.8643e+07,2.5e-05,0,0
1.0717e-06,301.49,1.8509e+07,2.55e-05,0,0
1.0717e-06,301.48,1.8378e+07,2.6e-05,0,0
1.0717e-06,301.47,1.8249e+07,2.65e-05,0,0
1.0717e-06,301.46,1.8123e+07,2.7e-05,0,0
1.0717e-06,301.45,1.7997e+07,2.75e-05,0,0
1.0717e-06,301.44,1.7875e+07,2.8e-05,0,0
1.0717e-06,301.43,1.7756e+07,2.85e-05,0,0
1.0717e-06,301.42,1.7643e+07,2.9e-05,0,0
1.0717e-06,301.41,1.7538e+07,2.95e-05,0,0
1.0717e-06,301.4,1.7444e+07,3e-05,0,0
1.0717e-06,301.4,1.7359e+07,3.05e-05,0,0
1.0717e-06,301.39,1.7283e+07,3.1e-05,0,0
1.0717e-06,301.38,1.7216e+07,3.15e-05,0,0
1.0717e-06,301.38,1.7157e+07,3.2e-05,0,0
1.0717e-06,301.37,1.7103e+07,3.25e-05,0,0
1.0717e-06,301.37,1.7056e+07,3.3e-05,0,0
1.0717e-06,301.37,1.7012e+07,3.35e-05,0,0
