Time,"Tm","pressure","Points:0","Points:1","Points:2"
1.0211e-06,303.35,4.3677e+07,0,0,0
1.0211e-06,303.35,4.3656e+07,5e-07,0,0
1.0211e-06,303.35,4.3601e+07,1e-06,0,0
1.0211e-06,303.34,4.3518e+07,1.5e-06,0,0
1.0211e-06,303.34,4.3406e+07,2e-06,0,0
1.0211e-06,303.33,4.3272e+07,2.5e-06,0,0
1.0211e-06,303.31,4.3125e+07,3e-06,0,0
1.0211e-06,303.3,4.296e+07,3.5e-06,0,0
1.0211e-06,303.28,4.2774e+07,4e-06,0,0
1.0211e-06,303.26,4.2559e+07,4.5e-06,0,0
1.0211e-06,303.25,4.2305e+07,5e-06,0,0
1.0211e-06,303.24,4.2038e+07,5.5e-06,0,0
1.0211e-06,303.21,4.1779e+07,6e-06,0,0
1.0211e-06,303.18,4.1493e+07,6.5e-06,0,0
1.0211e-06,303.16,4.1171e+07,7e-06,0,0
1.0211e-06,303.14,4.0837e+07,7.5e-06,0,0
1.0211e-06,303.12,4.0494e+07,8e-06,0,0
1.0211e-06,303.1,4.0149e+07,8.5e-06,0,0
1.0211e-06,303.07,3.9803e+07,9e-06,0,0
1.0211e-06,303.04,3.9455e+07,9.5e-06,0,0
1.0211e-06,303.02,3.9106e+07,1e-05,0,0
1.0211e-06,302.99,3.8754e+07,1.05e-05,0,0
1.0211e-06,302.97,3.8404e+07,1.1e-05,0,0
1.0211e-06,302.95,3.8068e+07,1.15e-05,0,0
1.0211e-06,302.92,3.7747e+07,1.2e-05,0,0
1.0211e-06,302.9,3.7433e+07,1.25e-05,0,0
1.0211e-06,302.88,3.7128e+07,1.3e-05,0,0
1.0211e-06,302.85,3.6841e+07,1.35e-05,0,0
1.0211e-06,302.83,3.6569e+07,1.4e-05,0,0
1.0211e-06,302.81,3.6306e+07,1.45e-05,0,0
1.0211e-06,302.79,3.6047e+07,1.5e-05,0,0
1.0211e-06,302.78,3.588e+07,1.55e-05,0,0
1.0211e-06,302.75,3.5551e+07,1.6e-05,0,0
1.0211e-06,302.72,3.5294e+07,1.65e-05,0,0
1.0211e-06,302.71,3.5049e+07,1.7e-05,0,0
1.0211e-06,302.69,3.4807e+07,1.75e-05,0,0
1.0211e-06,302.68,3.459e+07,1.8e-05,0,0
1.0211e-06,302.66,3.4377e+07,1.85e-05,0,0
1.0211e-06,302.65,3.4199e+07,1.9e-05,0,0
