Time,"Tm","pressure","Points:0","Points:1","Points:2"
1.0143e-06,303.2,4.0555e+07,0,0,0
1.0143e-06,303.2,4.0552e+07,5e-07,0,0
1.0143e-06,303.2,4.0543e+07,1e-06,0,0
1.0143e-06,303.2,4.0528e+07,1.5e-06,0,0
1.0143e-06,303.2,4.0514e+07,2e-06,0,0
1.0143e-06,303.2,4.0511e+07,2.5e-06,0,0
1.0143e-06,303.2,4.053e+07,3e-06,0,0
1.0143e-06,303.2,4.0571e+07,3.5e-06,0,0
1.0143e-06,303.2,4.0633e+07,4e-06,0,0
1.0143e-06,303.2,4.0708e+07,4.5e-06,0,0
1.0143e-06,303.21,4.0781e+07,5e-06,0,0
1.0143e-06,303.22,4.0875e+07,5.5e-06,0,0
1.0143e-06,303.22,4.1002e+07,6e-06,0,0
1.0143e-06,303.22,4.1118e+07,6.5e-06,0,0
1.0143e-06,303.23,4.1209e+07,7e-06,0,0
1.0143e-06,303.24,4.1291e+07,7.5e-06,0,0
1.0143e-06,303.24,4.1364e+07,8e-06,0,0
1.0143e-06,303.25,4.1426e+07,8.5e-06,0,0
1.0143e-06,303.25,4.1476e+07,9e-06,0,0
1.0143e-06,303.25,4.151e+07,9.5e-06,0,0
1.0143e-06,303.25,4.1527e+07,1e-05,0,0
1.0143e-06,303.25,4.1528e+07,1.05e-05,0,0
1.0143e-06,303.25,4.1512e+07,1.1e-05,0,0
1.0143e-06,303.24,4.1485e+07,1.15e-05,0,0
1.0143e-06,303.23,4.1445e+07,1.2e-05,0,0
1.0143e-06,303.23,4.1384e+07,1.25e-05,0,0
1.0143e-06,303.22,4.1301e+07,1.3e-05,0,0
1.0143e-06,303.21,4.12e+07,1.35e-05,0,0
1.0143e-06,303.2,4.108e+07,1.4e-05,0,0
1.0143e-06,303.18,4.0936e+07,1.45e-05,0,0
1.0143e-06,303.16,4.0769e+07,1.5e-05,0,0
1.0143e-06,303.15,4.0653e+07,1.55e-05,0,0
1.0143e-06,303.13,4.034e+07,1.6e-05,0,0
1.0143e-06,303.12,4.0125e+07,1.65e-05,0,0
1.0143e-06,303.1,3.9887e+07,1.7e-05,0,0
1.0143e-06,303.08,3.9642e+07,1.75e-05,0,0
1.0143e-06,303.06,3.9385e+07,1.8e-05,0,0
1.0143e-06,303.04,3.9126e+07,1.85e-05,0,0
1.0143e-06,303.02,3.8866e+07,1.9e-05,0,0
1.0143e-06,303,3.8606e+07,1.95e-05,0,0
1.0143e-06,302.97,3.8346e+07,2e-05,0,0
1.0143e-06,302.95,3.8086e+07,2.05e-05,0,0
1.0143e-06,302.93,3.783e+07,2.1e-05,0,0
1.0143e-06,302.91,3.7574e+07,2.15e-05,0,0
1.0143e-06,302.9,3.733e+07,2.2e-05,0,0
1.0143e-06,302.88,3.7089e+07,2.25e-05,0,0
1.0143e-06,302.86,3.6866e+07,2.3e-05,0,0
1.0143e-06,302.85,3.6646e+07,2.35e-05,0,0
1.0143e-06,302.83,3.6448e+07,2.4e-05,0,0
1.0143e-06,302.82,3.6255e+07,2.45e-05,0,0
1.0143e-06,302.8,3.6083e+07,2.5e-05,0,0
1.0143e-06,302.79,3.5916e+07,2.55e-05,0,0
1.0143e-06,302.78,3.5768e+07,2.6e-05,0,0
1.0143e-06,302.77,3.5626e+07,2.65e-05,0,0
1.0143e-06,302.76,3.5499e+07,2.7e-05,0,0
