Time,"Tm","pressure","Points:0","Points:1","Points:2"
8.5914e-07,303.95,5.3472e+07,0,0,0
8.5914e-07,303.95,5.347e+07,5e-07,0,0
8.5914e-07,303.95,5.3467e+07,1e-06,0,0
8.5914e-07,303.95,5.346e+07,1.5e-06,0,0
8.5914e-07,303.95,5.3453e+07,2e-06,0,0
8.5914e-07,303.95,5.3442e+07,2.5e-06,0,0
8.5914e-07,303.95,5.343e+07,3e-06,0,0
8.5914e-07,303.95,5.3415e+07,3.5e-06,0,0
8.5914e-07,303.95,5.3398e+07,4e-06,0,0
8.5914e-07,303.94,5.3377e+07,4.5e-06,0,0
8.5914e-07,303.94,5.3356e+07,5e-06,0,0
8.5914e-07,303.94,5.3331e+07,5.5e-06,0,0
8.5914e-07,303.94,5.3304e+07,6e-06,0,0
8.5914e-07,303.94,5.3275e+07,6.5e-06,0,0
8.5914e-07,303.94,5.3244e+07,7e-06,0,0
8.5914e-07,303.93,5.321e+07,7.5e-06,0,0
8.5914e-07,303.93,5.3174e+07,8e-06,0,0
8.5914e-07,303.93,5.3136e+07,8.5e-06,0,0
8.5914e-07,303.92,5.3096e+07,9e-06,0,0
8.5914e-07,303.92,5.3054e+07,9.5e-06,0,0
8.5914e-07,303.92,5.301e+07,1e-05,0,0
8.5914e-07,303.92,5.2964e+07,1.05e-05,0,0
8.5914e-07,303.91,5.2916e+07,1.1e-05,0,0
8.5914e-07,303.91,5.2866e+07,1.15e-05,0,0
8.5914e-07,303.9,5.2814e+07,1.2e-05,0,0
8.5914e-07,303.9,5.276e+07,1.25e-05,0,0
8.5914e-07,303.9,5.2705e+07,1.3e-05,0,0
8.5914e-07,303.89,5.2648e+07,1.35e-05,0,0
8.5914e-07,303.89,5.2589e+07,1.4e-05,0,0
8.5914e-07,303.88,5.2528e+07,1.45e-05,0,0
8.5914e-07,303.88,5.2465e+07,1.5e-05,0,0
8.5914e-07,303.88,5.2402e+07,1.55e-05,0,0
8.5914e-07,303.87,5.2335e+07,1.6e-05,0,0
8.5914e-07,303.87,5.2268e+07,1.65e-05,0,0
8.5914e-07,303.86,5.2199e+07,1.7e-05,0,0
8.5914e-07,303.86,5.2128e+07,1.75e-05,0,0
8.5914e-07,303.85,5.2055e+07,1.8e-05,0,0
8.5914e-07,303.85,5.1982e+07,1.85e-05,0,0
8.5914e-07,303.84,5.1905e+07,1.9e-05,0,0
8.5914e-07,303.84,5.1829e+07,1.95e-05,0,0
8.5914e-07,303.83,5.1749e+07,2e-05,0,0
8.5914e-07,303.82,5.1669e+07,2.05e-05,0,0
8.5914e-07,303.82,5.1587e+07,2.1e-05,0,0
8.5914e-07,303.81,5.1504e+07,2.15e-05,0,0
