Time,"Tm","pressure","Points:0","Points:1","Points:2"
7.4402e-07,301.48,1.9375e+07,0,0,0
7.4402e-07,301.48,1.9376e+07,5e-07,0,0
7.4402e-07,301.48,1.9378e+07,1e-06,0,0
7.4402e-07,301.48,1.9383e+07,1.5e-06,0,0
7.4402e-07,301.48,1.9388e+07,2e-06,0,0
7.4402e-07,301.48,1.9399e+07,2.5e-06,0,0
7.4402e-07,301.48,1.941e+07,3e-06,0,0
7.4402e-07,301.48,1.9428e+07,3.5e-06,0,0
7.4402e-07,301.48,1.9446e+07,4e-06,0,0
7.4402e-07,301.48,1.9471e+07,4.5e-06,0,0
7.4402e-07,301.49,1.9497e+07,5e-06,0,0
7.4402e-07,301.49,1.9528e+07,5.5e-06,0,0
7.4402e-07,301.49,1.9561e+07,6e-06,0,0
7.4402e-07,301.49,1.9596e+07,6.5e-06,0,0
7.4402e-07,301.49,1.9632e+07,7e-06,0,0
7.4402e-07,301.5,1.9669e+07,7.5e-06,0,0
7.4402e-07,301.5,1.9706e+07,8e-06,0,0
7.4402e-07,301.5,1.9743e+07,8.5e-06,0,0
7.4402e-07,301.5,1.9779e+07,9e-06,0,0
7.4402e-07,301.51,1.9815e+07,9.5e-06,0,0
7.4402e-07,301.51,1.9851e+07,1e-05,0,0
7.4402e-07,301.51,1.9885e+07,1.05e-05,0,0
7.4402e-07,301.51,1.992e+07,1.1e-05,0,0
7.4402e-07,301.52,1.9953e+07,1.15e-05,0,0
7.4402e-07,301.52,1.9987e+07,1.2e-05,0,0
7.4402e-07,301.52,2.002e+07,1.25e-05,0,0
7.4402e-07,301.52,2.0053e+07,1.3e-05,0,0
7.4402e-07,301.53,2.0087e+07,1.35e-05,0,0
7.4402e-07,301.53,2.0122e+07,1.4e-05,0,0
7.4402e-07,301.53,2.0157e+07,1.45e-05,0,0
7.4402e-07,301.53,2.0194e+07,1.5e-05,0,0
7.4402e-07,301.54,2.0231e+07,1.55e-05,0,0
7.4402e-07,301.54,2.027e+07,1.6e-05,0,0
7.4402e-07,301.54,2.031e+07,1.65e-05,0,0
7.4402e-07,301.54,2.0353e+07,1.7e-05,0,0
7.4402e-07,301.55,2.0396e+07,1.75e-05,0,0
7.4402e-07,301.55,2.0443e+07,1.8e-05,0,0
7.4402e-07,301.56,2.0491e+07,1.85e-05,0,0
7.4402e-07,301.56,2.0543e+07,1.9e-05,0,0
7.4402e-07,301.56,2.0595e+07,1.95e-05,0,0
7.4402e-07,301.57,2.065e+07,2e-05,0,0
7.4402e-07,301.57,2.0705e+07,2.05e-05,0,0
7.4402e-07,301.58,2.0762e+07,2.1e-05,0,0
7.4402e-07,301.58,2.0818e+07,2.15e-05,0,0
7.4402e-07,301.59,2.0876e+07,2.2e-05,0,0
7.4402e-07,301.59,2.0935e+07,2.25e-05,0,0
7.4402e-07,301.6,2.0999e+07,2.3e-05,0,0
7.4402e-07,301.6,2.1063e+07,2.35e-05,0,0
7.4402e-07,301.61,2.1136e+07,2.4e-05,0,0
7.4402e-07,301.61,2.1211e+07,2.45e-05,0,0
7.4402e-07,301.62,2.1296e+07,2.5e-05,0,0
7.4402e-07,301.63,2.1382e+07,2.55e-05,0,0
7.4402e-07,301.63,2.1477e+07,2.6e-05,0,0
7.4402e-07,301.64,2.1575e+07,2.65e-05,0,0
7.4402e-07,301.65,2.1679e+07,2.7e-05,0,0
7.4402e-07,301.66,2.1788e+07,2.75e-05,0,0
7.4402e-07,301.67,2.1902e+07,2.8e-05,0,0
7.4402e-07,301.68,2.2021e+07,2.85e-05,0,0
7.4402e-07,301.69,2.2147e+07,2.9e-05,0,0
7.4402e-07,301.7,2.2278e+07,2.95e-05,0,0
7.4402e-07,301.71,2.2415e+07,3e-05,0,0
7.4402e-07,301.72,2.2523e+07,3.05e-05,0,0
7.4402e-07,301.73,2.2595e+07,3.1e-05,0,0
7.4402e-07,301.77,2.2962e+07,3.15e-05,0,0
7.4402e-07,301.79,2.3147e+07,3.2e-05,0,0
7.4402e-07,301.81,2.3332e+07,3.25e-05,0,0
7.4402e-07,301.83,2.3518e+07,3.3e-05,0,0
7.4402e-07,301.85,2.3722e+07,3.35e-05,0,0
7.4402e-07,301.87,2.3939e+07,3.4e-05,0,0
7.4402e-07,301.88,2.4156e+07,3.45e-05,0,0
7.4402e-07,301.9,2.4373e+07,3.5e-05,0,0
7.4402e-07,301.92,2.4608e+07,3.55e-05,0,0
7.4402e-07,301.94,2.4851e+07,3.6e-05,0,0
7.4402e-07,301.96,2.5094e+07,3.65e-05,0,0
7.4402e-07,301.98,2.5337e+07,3.7e-05,0,0
7.4402e-07,302,2.5598e+07,3.75e-05,0,0
7.4402e-07,302.03,2.5865e+07,3.8e-05,0,0
7.4402e-07,302.05,2.6131e+07,3.85e-05,0,0
7.4402e-07,302.07,2.6397e+07,3.9e-05,0,0
7.4402e-07,302.09,2.6681e+07,3.95e-05,0,0
7.4402e-07,302.11,2.6967e+07,4e-05,0,0
7.4402e-07,302.14,2.7254e+07,4.05e-05,0,0
7.4402e-07,302.16,2.754e+07,4.1e-05,0,0
7.4402e-07,302.18,2.7836e+07,4.15e-05,0,0
7.4402e-07,302.2,2.8133e+07,4.2e-05,0,0
7.4402e-07,302.23,2.843e+07,4.25e-05,0,0
7.4402e-07,302.25,2.8726e+07,4.3e-05,0,0
7.4402e-07,302.27,2.9023e+07,4.35e-05,0,0
7.4402e-07,302.29,2.932e+07,4.4e-05,0,0
7.4402e-07,302.31,2.9617e+07,4.45e-05,0,0
7.4402e-07,302.33,2.9913e+07,4.5e-05,0,0
7.4402e-07,302.36,3.0204e+07,4.55e-05,0,0
7.4402e-07,302.38,3.0496e+07,4.6e-05,0,0
7.4402e-07,302.4,3.0788e+07,4.65e-05,0,0
7.4402e-07,302.42,3.1076e+07,4.7e-05,0,0
7.4402e-07,302.44,3.1355e+07,4.75e-05,0,0
7.4402e-07,302.45,3.1633e+07,4.8e-05,0,0
7.4402e-07,302.47,3.1912e+07,4.85e-05,0,0
7.4402e-07,302.49,3.2181e+07,4.9e-05,0,0
7.4402e-07,302.51,3.2432e+07,4.95e-05,0,0
7.4402e-07,302.52,3.2683e+07,5e-05,0,0
7.4402e-07,302.54,3.2934e+07,5.05e-05,0,0
7.4402e-07,302.55,3.3165e+07,5.1e-05,0,0
7.4402e-07,302.56,3.3371e+07,5.15e-05,0,0
7.4402e-07,302.57,3.3576e+07,5.2e-05,0,0
7.4402e-07,302.58,3.3782e+07,5.25e-05,0,0
7.4402e-07,302.59,3.3959e+07,5.3e-05,0,0
7.4402e-07,302.6,3.4112e+07,5.35e-05,0,0
7.4402e-07,302.6,3.4265e+07,5.4e-05,0,0
7.4402e-07,302.61,3.4418e+07,5.45e-05,0,0
7.4402e-07,302.62,3.4542e+07,5.5e-05,0,0
7.4402e-07,302.62,3.4649e+07,5.55e-05,0,0
7.4402e-07,302.63,3.4756e+07,5.6e-05,0,0
7.4402e-07,302.63,3.4863e+07,5.65e-05,0,0
7.4402e-07,302.64,3.4945e+07,5.7e-05,0,0
7.4402e-07,302.64,3.5018e+07,5.75e-05,0,0
7.4402e-07,302.64,3.5091e+07,5.8e-05,0,0
7.4402e-07,302.65,3.5163e+07,5.85e-05,0,0
7.4402e-07,302.65,3.5217e+07,5.9e-05,0,0
7.4402e-07,302.65,3.5267e+07,5.95e-05,0,0
7.4402e-07,302.65,3.5318e+07,6e-05,0,0
7.4402e-07,302.66,3.5368e+07,6.05e-05,0,0
7.4402e-07,302.66,3.5407e+07,6.1e-05,0,0
7.4402e-07,302.66,3.5445e+07,6.15e-05,0,0
7.4402e-07,302.66,3.5483e+07,6.2e-05,0,0
7.4402e-07,302.67,3.5522e+07,6.25e-05,0,0
7.4402e-07,302.67,3.5555e+07,6.3e-05,0,0
7.4402e-07,302.67,3.5589e+07,6.35e-05,0,0
7.4402e-07,302.67,3.5622e+07,6.4e-05,0,0
7.4402e-07,302.68,3.5656e+07,6.45e-05,0,0
7.4402e-07,302.68,3.5689e+07,6.5e-05,0,0
7.4402e-07,302.68,3.5721e+07,6.55e-05,0,0
7.4402e-07,302.68,3.5754e+07,6.6e-05,0,0
