Time,"Tm","pressure","Points:0","Points:1","Points:2"
9.2922e-07,302.03,2.4301e+07,0,0,0
9.2922e-07,302.04,2.4312e+07,5e-07,0,0
9.2922e-07,302.04,2.4343e+07,1e-06,0,0
9.2922e-07,302.04,2.4392e+07,1.5e-06,0,0
9.2922e-07,302.05,2.4462e+07,2e-06,0,0
9.2922e-07,302.05,2.4553e+07,2.5e-06,0,0
9.2922e-07,302.06,2.4664e+07,3e-06,0,0
9.2922e-07,302.07,2.4796e+07,3.5e-06,0,0
9.2922e-07,302.08,2.4946e+07,4e-06,0,0
9.2922e-07,302.09,2.5115e+07,4.5e-06,0,0
9.2922e-07,302.1,2.5298e+07,5e-06,0,0
9.2922e-07,302.11,2.5495e+07,5.5e-06,0,0
9.2922e-07,302.13,2.5703e+07,6e-06,0,0
9.2922e-07,302.14,2.5922e+07,6.5e-06,0,0
9.2922e-07,302.16,2.615e+07,7e-06,0,0
9.2922e-07,302.17,2.6388e+07,7.5e-06,0,0
9.2922e-07,302.19,2.6635e+07,8e-06,0,0
9.2922e-07,302.21,2.6891e+07,8.5e-06,0,0
9.2922e-07,302.22,2.7154e+07,9e-06,0,0
9.2922e-07,302.24,2.7425e+07,9.5e-06,0,0
9.2922e-07,302.26,2.7703e+07,1e-05,0,0
9.2922e-07,302.28,2.7985e+07,1.05e-05,0,0
9.2922e-07,302.3,2.8271e+07,1.1e-05,0,0
9.2922e-07,302.31,2.856e+07,1.15e-05,0,0
9.2922e-07,302.33,2.885e+07,1.2e-05,0,0
9.2922e-07,302.35,2.914e+07,1.25e-05,0,0
9.2922e-07,302.37,2.9429e+07,1.3e-05,0,0
9.2922e-07,302.39,2.9716e+07,1.35e-05,0,0
9.2922e-07,302.41,3.0001e+07,1.4e-05,0,0
9.2922e-07,302.43,3.0282e+07,1.45e-05,0,0
9.2922e-07,302.44,3.0559e+07,1.5e-05,0,0
9.2922e-07,302.46,3.0831e+07,1.55e-05,0,0
9.2922e-07,302.48,3.1097e+07,1.6e-05,0,0
9.2922e-07,302.49,3.1356e+07,1.65e-05,0,0
9.2922e-07,302.51,3.1607e+07,1.7e-05,0,0
9.2922e-07,302.53,3.185e+07,1.75e-05,0,0
9.2922e-07,302.54,3.2083e+07,1.8e-05,0,0
9.2922e-07,302.55,3.2308e+07,1.85e-05,0,0
9.2922e-07,302.57,3.2524e+07,1.9e-05,0,0
9.2922e-07,302.58,3.2731e+07,1.95e-05,0,0
9.2922e-07,302.59,3.293e+07,2e-05,0,0
9.2922e-07,302.61,3.312e+07,2.05e-05,0,0
9.2922e-07,302.62,3.3301e+07,2.1e-05,0,0
9.2922e-07,302.63,3.3473e+07,2.15e-05,0,0
9.2922e-07,302.64,3.3636e+07,2.2e-05,0,0
9.2922e-07,302.65,3.3791e+07,2.25e-05,0,0
9.2922e-07,302.66,3.3937e+07,2.3e-05,0,0
9.2922e-07,302.66,3.4074e+07,2.35e-05,0,0
9.2922e-07,302.67,3.4205e+07,2.4e-05,0,0
9.2922e-07,302.68,3.4329e+07,2.45e-05,0,0
9.2922e-07,302.69,3.4448e+07,2.5e-05,0,0
9.2922e-07,302.7,3.4565e+07,2.55e-05,0,0
9.2922e-07,302.7,3.4679e+07,2.6e-05,0,0
9.2922e-07,302.71,3.4792e+07,2.65e-05,0,0
9.2922e-07,302.72,3.4903e+07,2.7e-05,0,0
9.2922e-07,302.72,3.5014e+07,2.75e-05,0,0
9.2922e-07,302.73,3.5123e+07,2.8e-05,0,0
9.2922e-07,302.74,3.5233e+07,2.85e-05,0,0
9.2922e-07,302.74,3.5342e+07,2.9e-05,0,0
9.2922e-07,302.75,3.5451e+07,2.95e-05,0,0
9.2922e-07,302.76,3.556e+07,3e-05,0,0
9.2922e-07,302.77,3.567e+07,3.05e-05,0,0
9.2922e-07,302.77,3.5782e+07,3.1e-05,0,0
9.2922e-07,302.78,3.5896e+07,3.15e-05,0,0
9.2922e-07,302.79,3.6015e+07,3.2e-05,0,0
9.2922e-07,302.8,3.6138e+07,3.25e-05,0,0
9.2922e-07,302.81,3.6268e+07,3.3e-05,0,0
9.2922e-07,302.82,3.6405e+07,3.35e-05,0,0
9.2922e-07,302.83,3.6549e+07,3.4e-05,0,0
9.2922e-07,302.84,3.6701e+07,3.45e-05,0,0
