Time,"Tm","pressure","Points:0","Points:1","Points:2"
9.0648e-07,305.74,7.5961e+07,0,0,0
9.0648e-07,305.74,7.5964e+07,5e-07,0,0
9.0648e-07,305.74,7.5968e+07,1e-06,0,0
9.0648e-07,305.74,7.5979e+07,1.5e-06,0,0
9.0648e-07,305.74,7.599e+07,2e-06,0,0
9.0648e-07,305.74,7.6007e+07,2.5e-06,0,0
9.0648e-07,305.74,7.6026e+07,3e-06,0,0
9.0648e-07,305.75,7.6051e+07,3.5e-06,0,0
9.0648e-07,305.75,7.6077e+07,4e-06,0,0
9.0648e-07,305.75,7.6108e+07,4.5e-06,0,0
9.0648e-07,305.75,7.6141e+07,5e-06,0,0
9.0648e-07,305.75,7.6178e+07,5.5e-06,0,0
9.0648e-07,305.76,7.6217e+07,6e-06,0,0
9.0648e-07,305.76,7.626e+07,6.5e-06,0,0
9.0648e-07,305.76,7.6305e+07,7e-06,0,0
9.0648e-07,305.77,7.6354e+07,7.5e-06,0,0
9.0648e-07,305.77,7.6406e+07,8e-06,0,0
9.0648e-07,305.77,7.6461e+07,8.5e-06,0,0
9.0648e-07,305.78,7.652e+07,9e-06,0,0
9.0648e-07,305.78,7.6583e+07,9.5e-06,0,0
9.0648e-07,305.79,7.6649e+07,1e-05,0,0
9.0648e-07,305.79,7.672e+07,1.05e-05,0,0
9.0648e-07,305.79,7.6794e+07,1.1e-05,0,0
9.0648e-07,305.8,7.6872e+07,1.15e-05,0,0
9.0648e-07,305.8,7.6952e+07,1.2e-05,0,0
9.0648e-07,305.81,7.7035e+07,1.25e-05,0,0
9.0648e-07,305.81,7.7119e+07,1.3e-05,0,0
9.0648e-07,305.82,7.7205e+07,1.35e-05,0,0
9.0648e-07,305.82,7.7292e+07,1.4e-05,0,0
9.0648e-07,305.83,7.738e+07,1.45e-05,0,0
9.0648e-07,305.83,7.7468e+07,1.5e-05,0,0
9.0648e-07,305.84,7.7558e+07,1.55e-05,0,0
9.0648e-07,305.85,7.7649e+07,1.6e-05,0,0
9.0648e-07,305.85,7.7741e+07,1.65e-05,0,0
9.0648e-07,305.86,7.7835e+07,1.7e-05,0,0
9.0648e-07,305.86,7.7931e+07,1.75e-05,0,0
9.0648e-07,305.87,7.8029e+07,1.8e-05,0,0
9.0648e-07,305.87,7.8128e+07,1.85e-05,0,0
9.0648e-07,305.88,7.8231e+07,1.9e-05,0,0
9.0648e-07,305.89,7.8335e+07,1.95e-05,0,0
9.0648e-07,305.89,7.8445e+07,2e-05,0,0
9.0648e-07,305.9,7.8556e+07,2.05e-05,0,0
9.0648e-07,305.91,7.8676e+07,2.1e-05,0,0
9.0648e-07,305.92,7.8797e+07,2.15e-05,0,0
9.0648e-07,305.93,7.8928e+07,2.2e-05,0,0
9.0648e-07,305.94,7.9059e+07,2.25e-05,0,0
9.0648e-07,305.94,7.9201e+07,2.3e-05,0,0
9.0648e-07,305.95,7.9344e+07,2.35e-05,0,0
9.0648e-07,305.96,7.9497e+07,2.4e-05,0,0
9.0648e-07,305.98,7.9651e+07,2.45e-05,0,0
9.0648e-07,305.99,7.9814e+07,2.5e-05,0,0
9.0648e-07,306,7.9979e+07,2.55e-05,0,0
9.0648e-07,306.01,8.0153e+07,2.6e-05,0,0
9.0648e-07,306.02,8.033e+07,2.65e-05,0,0
9.0648e-07,306.03,8.0514e+07,2.7e-05,0,0
9.0648e-07,306.05,8.0703e+07,2.75e-05,0,0
9.0648e-07,306.06,8.0899e+07,2.8e-05,0,0
9.0648e-07,306.07,8.1099e+07,2.85e-05,0,0
9.0648e-07,306.09,8.1308e+07,2.9e-05,0,0
9.0648e-07,306.1,8.152e+07,2.95e-05,0,0
9.0648e-07,306.12,8.174e+07,3e-05,0,0
9.0648e-07,306.13,8.1966e+07,3.05e-05,0,0
9.0648e-07,306.15,8.2197e+07,3.1e-05,0,0
9.0648e-07,306.17,8.2435e+07,3.15e-05,0,0
9.0648e-07,306.18,8.268e+07,3.2e-05,0,0
9.0648e-07,306.2,8.2931e+07,3.25e-05,0,0
9.0648e-07,306.22,8.3188e+07,3.3e-05,0,0
9.0648e-07,306.23,8.3453e+07,3.35e-05,0,0
9.0648e-07,306.25,8.3723e+07,3.4e-05,0,0
9.0648e-07,306.27,8.3999e+07,3.45e-05,0,0
9.0648e-07,306.29,8.428e+07,3.5e-05,0,0
9.0648e-07,306.31,8.4567e+07,3.55e-05,0,0
9.0648e-07,306.33,8.4856e+07,3.6e-05,0,0
9.0648e-07,306.35,8.5153e+07,3.65e-05,0,0
9.0648e-07,306.37,8.5452e+07,3.7e-05,0,0
9.0648e-07,306.39,8.5758e+07,3.75e-05,0,0
9.0648e-07,306.41,8.6066e+07,3.8e-05,0,0
9.0648e-07,306.43,8.6382e+07,3.85e-05,0,0
9.0648e-07,306.45,8.6699e+07,3.9e-05,0,0
