Time,distance,Tm
1.2391e-06,0.021065137075272022,300.57
1.2282e-06,0.021066798522794108,300.37
1.2173e-06,0.02106727319801972,300.34
1.2064e-06,0.02107415478732184,300.33
1.1956e-06,0.021074629296858344,300.33
1.1847e-06,0.021075341041131457,300.34
1.174e-06,0.021076052761368765,300.35
1.2391e-06,0.021076764457572703,300.65
1.2391e-06,0.02108838542895117,300.82
1.2282e-06,0.021090045044996942,300.37
1.2173e-06,0.0210905191970231,300.35
1.1634e-06,0.021094312029549575,300.36
1.1527e-06,0.021094786085665816,300.38
1.1421e-06,0.021095260131128984,300.4
1.1316e-06,0.021095734165939805,300.42
1.1211e-06,0.021096208190098997,300.44
1.1106e-06,0.021096682203607275,300.47
1.1002e-06,0.021097156206465364,300.49
1.0898e-06,0.02109786719078495,300.52
1.0794e-06,0.021098341167020692,300.54
1.0692e-06,0.02109905211141012,300.57
1.14905e-06,0.021099763031844694,300.775
1.049e-06,0.021100236965494013,300.61
1.0391e-06,0.02110094784600919,300.63
1.0293e-06,0.021101658702575965,300.67
1.0196e-06,0.02110260647408277,300.73
1.01e-06,0.02110521262626842,300.77
1.0005e-06,0.02110781845667619,300.8
9.9118e-07,0.02111066081391106,300.84
1.2391e-06,0.021111371343425323,301.06
6.9535e-07,0.021111608181282635,300.0
1.2282e-06,0.021113029152634636,300.38
9.8185e-07,0.02111326597189549,300.88
1.2173e-06,0.021113502788500063,300.35
9.7267e-07,0.021115870808470105,300.92
9.6372e-07,0.021118238562910497,300.97
7.069e-07,0.02111989583307645,302.53
1.2064e-06,0.021120369314952803,300.33
9.551e-07,0.021120606051910535,301.04
9.39335e-07,0.021120842786214757,300.16499999999996
1.1847e-06,0.02112155297320725,300.34
1.174e-06,0.021122263136321352,300.35
1.09308e-06,0.02112297327555948,301.15
6.9535e-07,0.0211232099833335,300.0
9.4005e-07,0.02112510355004207,301.23
9.3552e-07,0.021126286943047988,301.25
9.3103e-07,0.021127706927160837,301.27
9.2358e-07,0.021129836724404664,301.31
9.1558e-07,0.021131966306995667,301.35
9.0706e-07,0.02113433225820016,301.4
1.2391e-06,0.021134568838753254,301.17
6.9535e-07,0.021134805416658086,300.0
7.3115e-07,0.021135041991914755,302.32
1.2282e-06,0.021136224828478715,300.39
1.2173e-06,0.021136697944570244,300.36
8.0859e-07,0.02113693449864478,301.92999999999995
6.99444e-07,0.021139536418758098,300.3
8.7892e-07,0.021142138018658378,301.55
7.069e-07,0.02114308397561718,302.53
6.8307e-07,0.021144029890255076,300.0
8.687e-07,0.021144975762577737,301.59
9.672249999999999e-07,0.021146158043483926,300.605
8.5815e-07,0.021147576693323518,301.64
8.4732e-07,0.02115041370753773,301.69
8.3627e-07,0.021153250341259616,301.76
8.2505e-07,0.02115585025471678,301.82
9.672249999999999e-07,0.021157740900200096,300.615
8.1368e-07,0.02115844984870111,301.89
1.2282e-06,0.02115939507641936,300.39
1.2173e-06,0.021159867674444468,300.36
8.0218e-07,0.021160812838830173,301.95
7.9057e-07,0.02116317556511782,302.04
7.7885e-07,0.021165301793265315,302.1
7.069e-07,0.021166010488516726,302.53
1.2064e-06,0.021166719160039895,300.34
6.8307e-07,0.021166955378608424,300.0
9.81325e-07,0.02116719159454083,301.25
1.1847e-06,0.02116790022652223,300.35
1.174e-06,0.02116860883478175,300.35
9.97125e-07,0.021169081227110448,301.725
6.9535e-07,0.021169317419321765,300.0
7.4319e-07,0.02117073451725282,302.27
3.108469607843137e-07,0.02117640196067311,300.0
1.2391e-06,0.021180651548052057,301.25
6.9535e-07,0.02118088761124047,300.0
7.3115e-07,0.021181123671797964,302.32
1.2282e-06,0.021182303935124713,300.4
1.2173e-06,0.02118277602204206,300.36
7.1906e-07,0.021183012061555363,302.4
6.521225e-07,0.021185608322632606,300.0
1.1634e-06,0.021186788336130608,300.37
1.1527e-06,0.02118726032312814,300.38
1.1421e-06,0.02118773229961149,300.4
1.1316e-06,0.021188204265581358,300.42
1.1211e-06,0.021188676221038445,300.44
1.1106e-06,0.021189148165983454,300.47
7.069e-07,0.021189148165983458,302.53
1.1002e-06,0.02118962010041709,300.49
6.8307e-07,0.021190092024340055,300.0
1.0898e-06,0.021190327982360254,300.52
1.0794e-06,0.021190799890518527,300.55
1.0692e-06,0.021191507733051933,300.57
1.14905e-06,0.02119221555194265,300.91999999999996
6.9535e-07,0.021192451486319364,300.0
1.049e-06,0.02119268741806947,300.61
1.0391e-06,0.02119339519756096,300.63
1.0293e-06,0.021194102953416075,300.67
1.0196e-06,0.021195046591125956,300.73
1.01e-06,0.021197641378228854,300.77
1.0005e-06,0.0212004716928657,300.8
9.9118e-07,0.021203065816055938,300.84
1.2391e-06,0.021203773249117715,301.25
6.9535e-07,0.021204009054893367,300.0
1.2282e-06,0.021205423834481592,300.41
9.8185e-07,0.021205659621902826,300.88
1.2173e-06,0.021205895406702355,300.37
9.7267e-07,0.0212082531105228,300.92
9.6372e-07,0.02121061055226841,300.97
7.069e-07,0.0212122606056026,302.53
1.2064e-06,0.02121273202583769,300.34
9.4459e-07,0.021213203435596427,300.46
1.1847e-06,0.02121391053059289,300.35
1.174e-06,0.02121461760202149,300.35
9.605033333333334e-07,0.021215324649884574,300.80333333333334
9.4005e-07,0.02121744565210431,301.22
9.3552e-07,0.021218623895059734,301.25
9.3103e-07,0.021220037700249262,301.27
9.2358e-07,0.021222158231433485,301.31
9.1558e-07,0.021224278550754087,301.35
9.0706e-07,0.021226634212705507,301.4
6.9535e-07,0.02122686976452251,300.0
1.2391e-06,0.021226869764522514,301.26
7.3115e-07,0.02122734086031503,302.32
1.2282e-06,0.02122851855405836,300.42
1.2173e-06,0.021228989613262333,300.37
8.0859e-07,0.021229225138944662,301.92999999999995
6.99444e-07,0.02123181574901214,300.3
8.7892e-07,0.021234406043023665,301.55
7.069e-07,0.021235112432007514,302.53
6.8307e-07,0.02123605424743495,300.0
8.687e-07,0.021237231457984347,301.59
1.2391e-06,0.021238173179442717,301.26
6.9535e-07,0.021238408603282872,300.0
8.5815e-07,0.02123982109152523,301.64
8.4732e-07,0.021242645786248,301.69
8.3627e-07,0.02124547010541306,301.76
8.2505e-07,0.02124805873485858,301.82
1.2391e-06,0.021249705880317497,301.25
6.9535e-07,0.02124994117638917,300.0
8.1368e-07,0.021250647048972414,301.89
1.2282e-06,0.021251352898109806,300.42
1.2173e-06,0.021251823451177078,300.38
8.0218e-07,0.021252999788265184,301.95
7.9057e-07,0.021255352267134976,302.04
7.7885e-07,0.021257469275527602,302.1
7.069e-07,0.021258174898142128,302.53
1.2064e-06,0.02125864530020669,300.35
9.39335e-07,0.02125911569186263,300.175
7.6705e-07,0.021259350883787585,302.16
1.1847e-06,0.02125982125983189,300.35
1.174e-06,0.021260526804385633,300.36
9.97125e-07,0.021261232325526194,301.73
6.9535e-07,0.02126146749403719,300.0
7.4319e-07,0.02126287845048266,302.27
3.108469607843137e-07,0.021268521340234256,300.0
1.2391e-06,0.021272752525237536,301.25
6.9535e-07,0.021272987566395087,300.0
7.3115e-07,0.021273222604955743,302.32
1.2282e-06,0.021274397758808593,300.43
1.2173e-06,0.021274867802174472,300.38
7.1906e-07,0.021275102819963056,302.4
6.521225e-07,0.021277687844312408,300.0
1.1634e-06,0.021278627775305436,300.37
1.1527e-06,0.02127909772523262,300.39
1.1421e-06,0.021279567664781163,300.4
1.1316e-06,0.021280037593951757,300.42
1.1211e-06,0.021280507512745087,300.44
1.1106e-06,0.02128097742116184,300.47
7.069e-07,0.021281212371479216,302.53
1.1002e-06,0.021281447319202704,300.5
8.86435e-07,0.02128215214681072,300.26
1.0794e-06,0.02128262201891487,300.55
1.0692e-06,0.02128332680762103,300.58
1.059e-06,0.021284031572989175,300.59
9.672249999999999e-07,0.021284266489592727,300.625
1.049e-06,0.021284501403603516,300.61
1.0391e-06,0.021285206130080114,300.63
1.0293e-06,0.021285910833224873,300.67
1.0196e-06,0.021286850401127922,300.73
1.01e-06,0.021289433999052206,300.77
1.0005e-06,0.02129225211197726,300.8
9.9118e-07,0.02129483505453846,300.84
9.672249999999999e-07,0.02129577422870556,300.62
1.105025e-06,0.02129741768384139,300.655
1.2173e-06,0.021297887219158616,300.39
9.7267e-07,0.0213,300.92
9.6372e-07,0.02130234728850321,300.96
7.069e-07,0.021303990236573055,302.53
1.2064e-06,0.02130469431838908,300.35
8.190849999999999e-07,0.021304929007157008,300.51
1.1956e-06,0.021305163693339697,300.35
1.1847e-06,0.021305867736377226,300.36
1.174e-06,0.02130657175615073,300.36
1.09308e-06,0.02130704108974308,301.175
6.9535e-07,0.021307275752662516,300.0
9.4005e-07,0.021309152962987524,301.21
9.3552e-07,0.021310326135467753,301.24
9.3103e-07,0.021311733857197073,301.27
9.2358e-07,0.021313845265460665,301.31
9.1558e-07,0.021315956464583053,301.35
9.0706e-07,0.02131830199617221,301.4
1.2391e-06,0.021318536535137676,301.22
6.9535e-07,0.02131877107152286,300.0
7.3115e-07,0.021319005605327845,302.32
1.2282e-06,0.02132017823565272,300.44
1.2173e-06,0.021320647269724245,300.39
8.0859e-07,0.02132088178289069,301.92999999999995
6.99444e-07,0.021323461257497574,300.3
8.7892e-07,0.02132604042010612,301.55
7.069e-07,0.02132697822008547,302.53
6.8307e-07,0.02132791597882925,300.0
8.687e-07,0.021328853696342895,301.59
1.2391e-06,0.021330025785263364,301.2
6.9535e-07,0.02133026019531876,300.0
8.5815e-07,0.021331432206956946,301.64
8.4732e-07,0.021334244772196646,301.69
8.3627e-07,0.02133705696669529,301.76
8.2505e-07,0.021339634486091837,301.82
1.2391e-06,0.02134150885012585,301.17
6.9535e-07,0.021341743134055378,300.0
8.1368e-07,0.021342211694198893,301.89
1.2282e-06,0.021343148783626094,300.45
1.2173e-06,0.021343617312911137,300.39
8.0218e-07,0.021344554340627493,301.95
7.9057e-07,0.021346896729969908,302.04
7.7885e-07,0.021349004660639336,302.1
7.069e-07,0.021349941451910354,302.53
1.2064e-06,0.021350409832132027,300.36
