P (GPa),Points_0,Points_1,Points_2,T3
0.0350862534474,-0.000500000023749,0,0,302.641170119
0.0350862534474,-0.000499500019941,0,0,302.641170119
0.0350862534474,-0.000499000016134,0,0,302.641170119
0.0350862534474,-0.000498500012327,0,0,302.641170119
0.0348295630133,-0.00049800000852,0,0,302.622697778
0.0348295630133,-0.000497500004712,0,0,302.622697778
0.0348295630133,-0.000497000000905,0,0,302.622697778
0.0348295630133,-0.000496499997098,0,0,302.622697778
0.0346003813747,-0.000496000051498,0,0,302.606185953
0.0346003813747,-0.000495500047691,0,0,302.606185953
0.0346003813747,-0.000495000043884,0,0,302.606185953
0.0346003813747,-0.000494500040077,0,0,302.606185953
0.0342296319518,-0.000494000036269,0,0,302.579421348
0.0342296319518,-0.000493500032462,0,0,302.579421348
0.0342296319518,-0.000493000028655,0,0,302.579421348
0.0342296319518,-0.000492500024848,0,0,302.579421348
0.0337837290729,-0.00049200002104,0,0,302.547245662
0.0337837290729,-0.000491500017233,0,0,302.547245662
0.0337837290729,-0.000491000013426,0,0,302.547245662
0.0337837290729,-0.000490500009619,0,0,302.547245662
0.0332027761902,-0.000490000005811,0,0,302.504582274
0.0332027761902,-0.000489500002004,0,0,302.504582274
0.0332027761902,-0.000488999998197,0,0,302.504582274
0.0332027761902,-0.00048849999439,0,0,302.504582274
0.0326841921386,-0.000488000019686,0,0,302.465872506
0.0326841921386,-0.000487500015879,0,0,302.465872506
0.0326841921386,-0.000487000012072,0,0,302.465872506
0.0326841921386,-0.000486500037368,0,0,302.465872506
0.032252351634,-0.000486000033561,0,0,302.4335408
0.032252351634,-0.000485500029754,0,0,302.4335408
0.032252351634,-0.000485000025947,0,0,302.4335408
0.032252351634,-0.000484500022139,0,0,302.4335408
0.0319014983073,-0.000484000018332,0,0,302.407237716
0.0319014983073,-0.000483500014525,0,0,302.407237716
0.0319014983073,-0.000483000010718,0,0,302.407237716
0.0319014983073,-0.000482500036014,0,0,302.407237716
0.0316179431184,-0.000482000032207,0,0,302.385970194
0.0316179431184,-0.0004815000284,0,0,302.385970194
0.0316179431184,-0.000481000024593,0,0,302.385970194
0.0316179431184,-0.000480500020785,0,0,302.385970194
0.0313874381858,-0.000480000016978,0,0,302.368688001
0.0313874381858,-0.000479500013171,0,0,302.368688001
0.0313874381858,-0.000479000009364,0,0,302.368688001
0.0311974945382,-0.00047850003466,0,0,302.354459307
0.0311974945382,-0.000478000030853,0,0,302.354459307
0.0311974945382,-0.000477500027046,0,0,302.354459307
0.0311974945382,-0.000477000023238,0,0,302.354459307
0.0310381227284,-0.000476500019431,0,0,302.342533462
0.0310381227284,-0.000476000015624,0,0,302.342533462
0.0310381227284,-0.000475500011817,0,0,302.342533462
0.0310381227284,-0.000475000008009,0,0,302.342533462
0.0309018992971,-0.000474500033306,0,0,302.332350675
0.0309018992971,-0.000474000029499,0,0,302.332350675
0.0309018992971,-0.000473500025691,0,0,302.332350675
0.0309018992971,-0.000473000021884,0,0,302.332350675
0.0307835732948,-0.000472500018077,0,0,302.323514131
0.0307835732948,-0.00047200001427,0,0,302.323514131
0.0307835732948,-0.000471500010462,0,0,302.323514131
0.0307835732948,-0.000471000035759,0,0,302.323514131
0.0306791757151,-0.000470500031952,0,0,302.315724578
0.0306791757151,-0.000470000028145,0,0,302.315724578
0.0306791757151,-0.000469500024337,0,0,302.315724578
0.0306791757151,-0.00046900002053,0,0,302.315724578
0.0305858413852,-0.000468500016723,0,0,302.308766583
0.0305858413852,-0.000468000012916,0,0,302.308766583
0.0305858413852,-0.000467500009108,0,0,302.308766583
0.0305858413852,-0.000467000034405,0,0,302.308766583
0.0305012313449,-0.000466500030598,0,0,302.302464271
